stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,gut,immune,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,slow_muscle,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,0,0,11,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,2.46,0,33.66,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,1.61,0,29,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0.57,1.15,0,17.79,0,0,0
 60-70,0.98,0,0,0.98,0,0,2.94,0,0.98,0,0,13.74,0,0,0.98
 72-82,1.96,0,0.98,0,0,0,4.91,0,0.98,1.96,0,11.78,0,0.98,0
 84-94,0,0,0,0,0,0,9.56,1.06,0,1.06,0,25.49,0,0,0
 96-106,1.09,1.09,1.09,0,0,1.09,3.28,0,1.09,1.09,0,41.53,0,0,0
108-118,1.53,0,0.77,0,0,1.53,3.83,0,0.77,1.53,0,22.21,0,0.77,0
120,3.92,0,0,0,0,0,9.8,0,0,0,0,11.76,0,0,0
