stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,1.64,0,0,4.1,0,0,1.64,8.21,0,0,0,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,1.61,2.42,0,1.61,0,0,0.81,0,0,0,0.81,0,0,12.09,0,0,8.86,16.11,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0
 48-58,0,0,0.57,0,0,1.72,0.57,0,0,0,0,0,0.57,0,0,10.9,0.57,0,30.99,22.38,0,1.15,0,0,0.57,0,0,0,6.31,0,0,0,0
 60-70,0,0,1.96,0,0,2.94,1.96,0,0,0,0,0,0,0,0,18.65,0,0,20.61,24.54,0,0,0,0,0.98,0,0,0,2.94,0,2.94,3.93,0
 72-82,0,0,2.94,0.98,0,8.83,0,0,5.89,0,0,0,0,0,16.69,47.12,0,2.94,53.01,27.49,0.98,0,0,0,0,0.98,0,0,2.94,0,5.89,5.89,0
 84-94,0,0,6.37,0,1.06,4.25,0,0,5.31,0,0,0,0,0,74.34,33.99,0,3.19,27.61,15.93,1.06,1.06,0,0,0,0,0,0,1.06,0,6.37,3.19,1.06
 96-106,0,0,7.65,0,0,5.46,1.09,1.09,3.28,1.09,1.09,0,3.28,0,37.16,26.23,0,3.28,32.79,30.6,0,0,0,3.28,0,1.09,0,0,2.19,1.09,7.65,16.39,0
108-118,0,0,1.53,0,0.77,5.36,0,0,3.83,0.77,0,0,1.53,0.77,42.89,20.68,0,0.77,19.92,20.68,0,0,0,0,1.53,0,1.53,0,1.53,0,7.66,8.43,0
120,0,0,3.92,0,1.96,3.92,0,0,3.92,3.92,0,1.96,0,0,19.6,29.4,0,0,9.8,17.64,1.96,0,0,1.96,3.92,0,0,0,0,0,3.92,5.88,0
