stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,19,1,0,0,2,3,0,1,2,7,0,0
 24-34,0,0.82,38.58,0,0,0,0,3.28,0.82,0,0,0,0,0.82,0,0,1.64,16.42,0.82,0,0,3.28,0,0,0,0,5.75,1.64,0
 36-46,1.61,0.81,48.34,0,0.81,1.61,0,0,0,0,0,0,0,3.22,0,0,0,16.92,0,0,0,2.42,0,0.81,0,0,3.22,0.81,0
 48-58,0,0,33.28,0,0,2.3,0,0,0,0,0,0,0,3.44,0,0,0.57,10.9,0,0.57,0,1.72,0,0,0,0,3.44,0,0
 60-70,0,0,42.21,0.98,0,3.93,0.98,0.98,0.98,0,1.96,0,0.98,0,0,0,0.98,9.82,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,41.23,0,0,1.96,0,0,0,0,0,0,0,6.87,0.98,0,0.98,5.89,0,0,0.98,0.98,0,0,0,0,0.98,0.98,0
 84-94,0,1.06,35.05,0,0,2.12,0,0,0,1.06,0,0,0,5.31,0,1.06,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0
 96-106,2.19,0,19.67,0,0,2.19,1.09,0,0,0,0,0,0,3.28,1.09,0,0,4.37,0,0,0,2.19,0,1.09,0,0,0,0,0
108-118,1.53,0,24.51,0,0,1.53,0,1.53,0,0.77,0,0.77,0,1.53,0,0,0,5.36,0,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,17.64,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0
