stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,6.29,0,0,9.44,0,12.59,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,81,0,0,1,2,0,0,1,0,0,0,4,0,0,0,2,0,1,3,0,0,0,0,0,8,1,0,0,1,1,0,0,0,0
 24-34,0,0,1.64,26.27,0,0,3.28,0,0,0,3.28,0,0,0,14.78,0,0,0.82,3.28,4.93,1.64,50.07,0,2.46,0,0,0,13.95,0,1.64,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,9.67,0,0,0,0,0,0,1.61,0,0.81,0,6.45,0,0.81,0.81,8.06,1.61,0,98.29,0,4.03,0.81,0,0.81,9.67,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,11.48,0,0,0,0,1.15,0,1.15,1.15,0,0,6.31,0,0,0.57,7.46,4.59,2.87,53.94,0,5.16,2.3,0,0,7.46,0,0,0.57,0,0.57,0,0,0,0.57
 60-70,0,0,0,10.8,0,0,0,0.98,0,0,0.98,0,0,0,3.93,0,0,0,18.65,3.93,0,37.3,0.98,3.93,1.96,0,0,4.91,0,0,0,0,2.94,0.98,0,0,0
 72-82,0,0.98,0,13.74,0,0,0.98,0.98,0,1.96,1.96,0,0,0.98,11.78,0.98,0.98,0,20.61,3.93,0.98,33.38,0,1.96,3.93,0,0,3.93,0,0,0,0,0,4.91,0,0.98,0
 84-94,0,1.06,0,22.3,0,0,3.19,1.06,0,1.06,9.56,1.06,0,0,21.24,0,3.19,0,21.24,4.25,0,40.36,1.06,2.12,0,0,0,10.62,0,0,0,0,1.06,13.81,1.06,0,0
 96-106,0,1.09,0,36.06,1.09,1.09,2.19,3.28,0,0,7.65,0,1.09,1.09,21.86,0,9.84,1.09,10.93,8.74,1.09,16.39,0,6.56,4.37,0,0,25.14,0,0,0,0,0,13.11,1.09,1.09,0
108-118,0,0.77,0,32.94,0.77,0,2.3,3.83,0.77,0.77,12.26,0.77,0,1.53,27.57,0,5.36,0,9.19,4.6,0,18.38,0,6.89,1.53,0,0,9.96,0,0,0,0,0,35.23,0.77,0,0
120,0,0,0,27.44,0,0,0,0,1.96,0,9.8,0,0,1.96,9.8,0,0,0,15.68,3.92,0,13.72,0,5.88,0,0,0,9.8,0,1.96,0,0,1.96,9.8,0,0,0
