stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,18.88,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,3,3,0,6,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,29,1,0,0,0,0,3,0,0,8,13,0,0,0,0
 24-34,0,0,3.28,0,0,4.93,0,0,0,1.64,0,0.82,0,0.82,0,0,0,0,1.64,0,0,2.46,55,0,0.82,0,0,2.46,0,0,0,1.64,16.42,0,1.64,0,0
 36-46,0,0,2.42,0,0,24.17,0.81,0,0.81,3.22,0,0.81,0,0,0,0,0,0,8.86,0,0.81,7.25,74.12,0,1.61,0.81,0,0.81,0,0,0,0,16.11,0,0,0,0
 48-58,0,0,2.87,0,0,16.07,1.72,0,0,4.59,0,0,0,0,0,0,0,0,8.03,0,0,1.15,37.3,0,0.57,0.57,0,0.57,0,0,0,0,12.05,0,1.15,0,0
 60-70,0,0,2.94,0,0,43.19,0,0,0.98,6.87,0,0,0,0,0,0,1.96,0,14.72,0,0,0,75.58,0.98,3.93,0,0,0,0,0,0,0,22.58,0,0.98,0,0
 72-82,0,0,0,4.91,0,24.54,0,0,0,9.82,0.98,0,0.98,0,0,0.98,0,0,20.61,0,0.98,4.91,65.77,0,3.93,2.94,0,1.96,0,0.98,0,0,12.76,0.98,2.94,0.98,0
 84-94,0,0,0,1.06,0,22.3,0,1.06,0,13.81,0,0,0,1.06,0,2.12,0,0,12.74,1.06,1.06,4.25,26.55,1.06,0,2.12,0,2.12,0,1.06,0,0,3.19,0,0,1.06,0
 96-106,0,0,6.56,3.28,0,33.88,0,0,1.09,18.58,2.19,1.09,2.19,0,0,0,0,1.09,16.39,0,0,1.09,41.53,1.09,2.19,3.28,0,1.09,0,0,2.19,0,6.56,0,3.28,0,1.09
108-118,0,0.77,2.3,6.89,0.77,33.7,0,0,0.77,14.55,0,0.77,1.53,2.3,0.77,0,0,0,24.51,0,1.53,3.06,45.96,0,6.13,1.53,0,1.53,0,0.77,0,0,2.3,0,2.3,0,0
120,0,0,5.88,3.92,0,25.48,1.96,0,0,9.8,1.96,1.96,1.96,0,0,0,0,0,11.76,0,0,1.96,45.08,0,5.88,1.96,0,1.96,0,1.96,0,0,3.92,0,3.92,0,0
