stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,1,1,0,1,0,0,0,0,12,0,2,6,1,0,0,3,0,0,0
 24-34,0,0,1.64,2.46,0,24.63,0,0,0,0.82,0,9.03,0,0,0,0,32.83,3.28,9.03,13.13,0.82,0,0,6.57,0,0,0
 36-46,0,0,0,0,0.81,16.11,0,0,2.42,0,0,11.28,0.81,0,0,0,34.64,6.45,2.42,8.06,0,0,0,8.86,0.81,0,0
 48-58,0,0,0,0.57,0,19.51,0,0,8.03,0,0,5.16,0,0,0,0,30.41,7.46,1.72,8.03,0,0.57,0,4.02,0.57,0,0.57
 60-70,0,0,0,0,0,26.5,0,0,35.33,0,0,4.91,0,0,0,0,36.32,14.72,3.93,11.78,0,0.98,0,2.94,1.96,0,1.96
 72-82,0,0.98,0,0.98,0,29.45,0,0,51.05,0,0,10.8,0,0,0.98,0,36.32,29.45,6.87,10.8,0,1.96,0.98,2.94,1.96,0,4.91
 84-94,0,0,0,1.06,0,67.97,0,0,40.36,1.06,0,7.43,0,0,0,1.06,25.49,27.61,1.06,7.43,0,1.06,0,1.06,2.12,1.06,6.37
 96-106,0,1.09,0,0,0,45.9,1.09,1.09,30.6,0,0,10.93,0,0,0,0,38.25,24.04,3.28,7.65,0,1.09,0,0,1.09,0,0
108-118,0,1.53,0,0,0,60.51,0,0,37.53,1.53,0,3.83,0,0.77,0,0,21.45,21.45,1.53,5.36,0,2.3,0,0.77,0.77,0,2.3
120,0,0,0,0,0,15.68,0,1.96,35.28,0,0,7.84,0,0,0,0,33.32,11.76,0,9.8,1.96,0,0,0,0,1.96,1.96
