stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,65.89,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,416.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,13.14,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,14,0,0,0
 24-34,0,0,0.82,1.64,0,5.75,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0.82,182.23,0,2.46,0.82,0,0.82,0,0,60.74,0,0,0
 36-46,0,0,0.81,1.61,0,8.06,0.81,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0.81,414.92,0,4.83,0,0,1.61,0,0,101.51,0,0,0
 48-58,0,0,0.57,0.57,0,25.82,0,0,0.57,22.38,0,0,0,0,0,0.57,0,0,2.3,0,0,1.15,490.6,0,2.3,0,0,1.72,0,0,98.12,0,0,1.15
 60-70,0,0,0.98,0.98,0,59.87,0.98,0,0.98,29.45,0,0.98,0,0,0,0,0,0,4.91,0,0,0.98,782.27,0.98,2.94,0,0,1.96,0,0.98,61.84,0,0,0
 72-82,0,0,3.93,1.96,0.98,125.65,0,0.98,1.96,65.77,0.98,0,0.98,0.98,1.96,0.98,0,0,16.69,0.98,0,0.98,924.73,0,3.93,2.94,0,1.96,0,0,62.83,0,0,0
 84-94,0,0,3.19,6.37,3.19,87.09,0,0,0,60.54,1.06,0,0,0,0,0,1.06,1.06,15.93,0,1.06,1.06,491.72,0,2.12,0,0,4.25,0,1.06,32.92,0,0,0
 96-106,0,0,2.19,9.84,2.19,121.31,1.09,1.09,1.09,56.83,2.19,0,0,1.09,0,0,0,2.19,9.84,0,1.09,1.09,479.76,1.09,6.56,0,0,5.46,1.09,0,28.41,1.09,1.09,1.09
108-118,0,0,2.3,6.13,0.77,79.66,0,0,0,43.66,2.3,0,0,0.77,0,0,0,0,8.43,0,0,0.77,532.34,0,1.53,3.83,0,2.3,0,0,17.62,1.53,0.77,2.3
120,0,0,0,5.88,0,62.71,1.96,0,0,52.91,1.96,0,0,3.92,0,0,0,0,7.84,0,0,0,695.72,0,7.84,3.92,0,0,0,0,25.48,0,0,0
