stage,axial,blastomeres,eye,glial,liver,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  3-4,0,92.25,0,0,0,0,0,0,13.18,0,0
  5-6,12.26,55.17,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,2.63,0,0,0,15.77,5.26,0,0,0
 10-12,0,0,0,0,0,0,12.59,6.29,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,2,0
 24-34,0,0,0,0,0,0.82,2.46,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,11.28,0,0,1.61,0
 48-58,0,0,1.15,0,0,0,10.33,0,0,0.57,0
 60-70,0,0,0.98,0,0,0,22.58,0,0.98,0,0.98
 72-82,0,0,2.94,0,0,0,4.91,0,0,0,0
 84-94,0,0,1.06,0,0,0,3.19,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,4.37,0,0,0,0
108-118,0,0,0.77,0,0.77,0,3.06,0,0,0,0
120,0,0,0,0,0,0,13.72,0,0,0,0
