stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,5,0,0,0,0
 24-34,0,0,0.82,0,0,9.85,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,31.19,0,0,0,0,0.82,0,0,6.57,0,0,0,0
 36-46,0,0,0,0,0,27.39,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,66.06,0,0.81,0,0,0,0,0,8.86,0,0,0,0
 48-58,0,0,1.72,0,0,103.86,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0.57,0.57,40.74,0,0.57,0,0,0,0,0,6.31,0,0,1.15,0
 60-70,0,0,0.98,0,0,600.69,0,0,0,2.94,0,0,0.98,0,0,0.98,0,1.96,0,0,66.74,0,0,0.98,0,0.98,0,0,5.89,0,0,0,0
 72-82,0,0,7.85,0.98,0,1117.13,0,0,0.98,7.85,0,0,0,0,0,0,1.96,14.72,0,1.96,64.79,0,0.98,0,0,2.94,0.98,0,3.93,0.98,0.98,1.96,0
 84-94,0,1.06,13.81,4.25,0,1225.59,1.06,0,0,8.5,0,0,2.12,1.06,1.06,0,0,6.37,1.06,0,31.86,1.06,0,0,0,3.19,0,0,0,0,0,0,0
 96-106,0,0,8.74,2.19,1.09,874.28,2.19,0,0,4.37,0,0,1.09,3.28,0,1.09,0,8.74,0,0,41.53,0,2.19,2.19,0,2.19,0,1.09,1.09,0,0,2.19,0
108-118,0,0,3.06,1.53,0,617.37,0,1.53,1.53,6.13,0,0,0,0.77,0,0,0.77,8.43,1.53,0,45.96,0,0,0,0,4.6,0,0,0,0.77,0,2.3,0.77
120,0,0,3.92,0,0,752.56,0,5.88,0,3.92,1.96,0,0,0,0,1.96,0,0,0,0,58.79,0,0,1.96,0,0,0,0,0,0,0,0,0
