stage,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
 14-21,0,1,0,0,0,1,0,0,1,0,0,11,1,0,2,0,0,5,0
 24-34,1.64,0.82,0,0.82,0,0,0,0,3.28,0,1.64,4.93,0.82,0,0,4.1,0,4.93,0.82
 36-46,0,0.81,0,0,0,0,0.81,0,2.42,0,0,8.86,0.81,0,0,0,2.42,3.22,0
 48-58,0,1.15,0,0.57,0,0,0.57,0,0,0,1.15,5.74,0,0,0,0,1.15,0,0
 60-70,0,6.87,0.98,0,0,0,1.96,0,0.98,0.98,0,1.96,0,0,0,0,0.98,0.98,0
 72-82,0.98,12.76,0,1.96,0,0,4.91,0,1.96,0,0,5.89,0,0,0,0,0.98,0.98,0.98
 84-94,2.12,4.25,1.06,1.06,0,0,1.06,1.06,1.06,0,0,3.19,0,0,0,0,19.12,0,0
 96-106,0,12.02,0,0,0,0,5.46,0,2.19,0,0,1.09,0,0,0,1.09,8.74,0,0
108-118,3.06,9.19,0,0,0.77,0,6.13,0,0.77,0,0,2.3,0.77,0.77,0,0,13.79,0,0
120,0,7.84,0,5.88,0,0,3.92,1.96,1.96,0,0,1.96,1.96,0,0,0,9.8,0,0
