stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,63.09,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,3,65,11,20,0,0,12,3,0,3,1,0,0,1,36,0,0,25,223,10,2,5,14,0,10,51,5,1,26,95,0,4,0,0
 24-34,0,0,0,4.93,0,9.85,0.82,0,1.64,0,0,0,0.82,1.64,0.82,0,17.24,0,0,5.75,71.41,2.46,2.46,0.82,0,0,2.46,0,0,0,1.64,15.6,0,3.28,0,0
 36-46,0,0,0,1.61,0,3.22,0,0.81,4.03,0,0,0.81,0,0,0,0,10.47,0,0,3.22,20.14,0.81,2.42,1.61,0,0,3.22,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,1.72,0,8.03,0,2.3,10.33,0,0,0,0,1.15,0,0,25.82,0,0,5.16,18.94,0,1.72,4.02,0,0,1.15,0,0,0,0,2.87,0,3.44,0,0
 60-70,0,0,0,0,0,7.85,0,0,32.39,0,0,0,0,0.98,0,0,38.28,0,0.98,4.91,19.63,0,2.94,2.94,0,0.98,1.96,0,0,0,0,1.96,0,0,0.98,0
 72-82,0,0,0,0,0,1.96,0,0.98,49.08,0.98,0,0.98,0,1.96,0,0,43.19,0,0,6.87,27.49,0,5.89,13.74,0,0,1.96,0,0,0,0,3.93,0,3.93,0,0.98
 84-94,0,0,0,1.06,0,5.31,0,1.06,31.86,0,0,0,0,2.12,0,0,36.11,1.06,2.12,1.06,18.05,0,0,7.43,0,1.06,6.37,0,0,0,0,5.31,0,6.37,0,0
 96-106,0,0,0,0,0,4.37,0,0,22.95,0,0,1.09,0,1.09,1.09,0,26.23,0,0,0,15.3,0,1.09,5.46,0,2.19,4.37,0,0,0,0,1.09,0,4.37,1.09,0
108-118,0,0,0,0.77,0.77,2.3,0,0,35.23,0,0,0,0,2.3,0,0,17.62,0,0,1.53,11.49,0,0,9.96,0,0.77,3.06,0,0,0,0,0,1.53,1.53,0.77,1.53
120,0,0,0,1.96,0,3.92,1.96,1.96,23.52,0,0,1.96,0,0,0,0,23.52,0,0,1.96,11.76,1.96,1.96,3.92,0,0,0,0,0,0,0,0,3.92,7.84,0,1.96
