stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,1,0,0,0,0,7,0,0,0,4,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,22.98,0,0,0,11.49,0,2.46,0,0
 36-46,0,0,0.81,0,1.61,0,0,0,0,0,34.64,0,0,0,4.03,0,0.81,0,0
 48-58,0,0,5.16,0,1.15,0,0,1.15,0,0,46.48,0.57,0,0.57,6.31,0,0,0,0
 60-70,0,0,16.69,0,0.98,0,0,4.91,0,0,59.87,0,0,0,5.89,0,0,0,0
 72-82,0,0,23.56,0,1.96,0,0.98,0.98,0,0,76.57,0,1.96,0,2.94,0.98,0,0.98,0
 84-94,0,1.06,3.19,0,2.12,0,0,3.19,0,1.06,43.54,0,4.25,0,2.12,0,2.12,2.12,0
 96-106,0,1.09,7.65,1.09,1.09,0,0,5.46,1.09,1.09,32.79,0,1.09,0,4.37,0,1.09,1.09,0
108-118,0,0,6.89,0,1.53,0,0,1.53,0,0,32.94,0,1.53,0,1.53,0,0.77,0,0.77
120,0,0,1.96,0,0,0,0,0,0,0,31.36,1.96,0,0,0,0,0,0,0
