stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,316.27,7050.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.09,0,0,0,0,0,0,0
  5-6,165.5,1955.35,0,0,0,0,0,0,0,0,0,0,73.56,0,0,12.26,42.91,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,13.14,0,23.66,0,0,0,10.51,0,0,268.13,2.63,0,113.03,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,25.18,0,0,0,3.15,0,0,81.82,0,0,37.76,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,1,2,7,0,0,1,0,2,1,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,2.12,2.12,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,1.09,6.56,0,0,0,2.19,0,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,6.13,0,2.3,0,0,0.77,0.77,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
