stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,4,0,1,0,0
 24-34,1.64,1.64,0,1.64,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,54.18,0,0.82,0,0,13.95,0,0,0,0
 36-46,0,0,0,6.45,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0.81,0,0,183.69,0.81,0.81,0,0,42.7,0,0.81,0,0
 48-58,1.15,1.72,0,33.85,0,0,9.18,0,0.57,0,0,0,0,0,0.57,1.15,0,0,0.57,231.82,0,0,0,0,24.67,0,0,0,0
 60-70,0.98,0.98,0,137.41,0,0,18.65,0.98,0,0,0,0.98,0,0,0,4.91,0,0.98,0,585.97,0.98,0.98,0,0,28.46,0,0,0,0
 72-82,5.89,1.96,2.94,519.3,0.98,1.96,36.32,0.98,0.98,0,0,0,0.98,0,0.98,15.71,1.96,0.98,0,776.49,0,0,0,0,22.58,0,0.98,1.96,1.96
 84-94,4.25,2.12,1.06,504.47,0,0,20.18,1.06,0,0,0,0,0,0,0,5.31,0,0,1.06,347.29,0,5.31,0,0,18.05,0,1.06,1.06,1.06
 96-106,4.37,6.56,3.28,528.94,3.28,0,17.49,1.09,0,0,0,0,1.09,1.09,1.09,6.56,0,0,0,288.51,1.09,0,1.09,0,6.56,1.09,2.19,0,1.09
108-118,0.77,10.72,3.83,395.24,0.77,0,20.68,0.77,0,1.53,0,0,0,0.77,0,9.96,0,0,1.53,416.68,0,0.77,0,0,3.06,0.77,0,0,0
120,1.96,9.8,0,360.6,0,0,15.68,0,0,0,0,0,0,0,0,13.72,0,0,0,411.55,0,1.96,0,0,9.8,0,0,1.96,0
