stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,61.3,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,26,0,0,0,0,0,1,2,0,1,4,7,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,0,0,0,7.39,0,3.28,185.51,0,0,0,0,0,2.46,0,0,0,1.64,19.7,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0.81,0,0.81,0,0,0,0,0.81,0,0,0,0.81,13.7,0,3.22,537.38,0,0.81,0,0,0,0,0,0,0,0,41.09,0,0,0.81,0,0
 48-58,0,0,0,3.44,0.57,33.28,0,0,0.57,15.49,0,0,0,0,0,0,0,1.15,1.15,12.62,1.72,2.3,1047.77,0,0.57,0,0,0,0.57,0,0.57,0,0,62.54,0,0,1.72,0,1.72
 60-70,0,0,0,3.93,0.98,116.8,0,0.98,1.96,27.48,0,0,0,0,0,0,0,0,0,29.45,2.94,1.96,2191.74,0,0.98,0,0,0,2.94,0,0,0.98,0,86.37,0.98,1.96,0.98,0,1.96
 72-82,0,0,0,12.76,1.96,248.36,0,0,0.98,32.39,1.96,0.98,0,0,0.98,0,0.98,0,0,46.14,0,1.96,1821.96,0,0.98,2.94,0,0,2.94,0,0,0,0,70.68,0,1.96,2.94,2.94,0
 84-94,0,0,0,11.68,1.06,181.61,0,0,1.06,38.23,1.06,0,1.06,2.12,1.06,1.06,1.06,0,0,33.99,4.25,3.19,915.48,0,1.06,0,0,1.06,1.06,0,1.06,0,0,53.1,0,2.12,1.06,1.06,1.06
 96-106,0,0,0,12.02,1.09,139.88,0,0,2.19,18.58,1.09,0,0,2.19,2.19,0,0,2.19,0,28.41,2.19,3.28,679.75,0,1.09,1.09,0,0,3.28,0,1.09,0,0,19.67,1.09,2.19,3.28,0,2.19
108-118,0,0,0,13.79,1.53,89.62,0,1.53,3.83,13.79,2.3,0,1.53,0.77,0,1.53,0,0.77,0,16.09,0,1.53,708.52,0,1.53,0.77,0,0,1.53,0,0.77,0,0,16.09,0.77,0,0.77,0.77,0
120,0,0,0,3.92,0,139.14,1.96,1.96,3.92,13.72,0,0,1.96,1.96,0,0,0,0,0,27.44,3.92,7.84,879.94,0,5.88,1.96,0,1.96,3.92,0,1.96,0,0,11.76,0,0,3.92,0,0
