stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,gut,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,12.59,9.44,0,3.15,0,0,3.15,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,3,1,3,2
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,10.67,0,0,0,0,0,2.46,1.64
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,4.83,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,0,12.05,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,9.82,0,0,0.98,0,18.65,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,0,6.87,0,0,0,0,8.83,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,1.06,0,0,0,0,5.31,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,5.46,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,4.6,0,0,0,0,6.89,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,1.96,1.96,3.92,0,0,0,0,0,0,0
