stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,iridophores,mesenchyme,neural,olfactory,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,4,0,0,58,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,13.13,0,0,100.14,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,47.53,0.81,0.81,173.22,0,0.81,0,0
 48-58,0,0,6.31,0.57,5.74,0,0,49.35,0.57,0,156.65,0,0,0,0
 60-70,0,0,25.52,0,5.89,0,2.94,109.93,0.98,0,151.15,0,0,0,0
 72-82,0,0,54.97,0.98,8.83,0,3.93,98.17,0,0,71.66,0.98,0,0,0
 84-94,1.06,0,40.36,0,5.31,1.06,1.06,52.04,0,0,32.92,1.06,0,1.06,1.06
 96-106,1.09,1.09,40.44,0,2.19,0,1.09,40.44,0,0,19.67,0,0,0,0
108-118,0,0,26.04,0,3.83,0,1.53,47.49,0,0.77,10.72,0,0,0,0
120,0,0,21.56,0,1.96,0,0,50.95,0,0,17.64,0,0,0,0
