stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,5,0,0,0,0
 24-34,0,1.64,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,82.91,0,0,0,0,1.64,3.28,0,0,12.31,0,0,0,0
 36-46,0,0.81,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,203.03,0,0,0,0,0,0,0,0,16.11,0,0,0,0
 48-58,0,0.57,0,16.64,0,0.57,0.57,2.3,0,0,0.57,0,0,0,0,0,4.59,0,0,342.56,0,0,0,0,0,0.57,0,0,22.95,0,1.15,0,0.57
 60-70,0,0.98,0,59.87,0,0.98,1.96,5.89,0,0,1.96,0,0,0,0,0.98,10.8,0,1.96,765.59,0,0.98,0,0.98,0,0,0,0,64.78,0.98,0,0,1.96
 72-82,0,6.87,1.96,120.74,0,0,3.93,15.71,0,0,0.98,0,0,0,0.98,0,27.49,0,3.93,824.6,0,1.96,0,0,3.93,0,0,0,48.1,0,2.94,0,0.98
 84-94,0,9.56,2.12,97.71,0,0,3.19,18.05,0,0,2.12,0,1.06,1.06,0,0,20.18,0,2.12,447.12,2.12,1.06,0,0,0,0,1.06,0,36.11,1.06,4.25,0,0
 96-106,0,8.74,1.09,93.98,0,1.09,3.28,14.21,1.09,0,1.09,1.09,0,0,1.09,0,22.95,1.09,2.19,396.7,0,3.28,0,0,5.46,0,0,0,15.3,0,1.09,1.09,0
108-118,0,10.72,0.77,60.51,1.53,0.77,6.89,7.66,0,0,1.53,0.77,0.77,0.77,0,0.77,18.38,0,2.3,419.75,0.77,3.06,0,0,2.3,0,0,0,2.3,0,2.3,0.77,0.77
120,0,11.76,0,94.07,1.96,0,9.8,23.52,0,0,0,0,0,0,0,0,31.36,0,3.92,721.2,1.96,1.96,0,0,1.96,0,1.96,0,17.64,0,1.96,1.96,0
