stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,8,1,0,0,0,0,0,0,3,0,0,0,2,0,0,2,10,0,0,1,7,2,2,0,0,0,0
 24-34,0,0,0,6.57,0,0.82,1.64,0,0,0,0.82,0,0,0,0,1.64,0,0,0.82,13.13,2.46,0,0,36.12,0,4.1,0,0.82,0,0
 36-46,0,0,0,7.25,0,1.61,1.61,0.81,0.81,0,0,0.81,0,0,0,4.83,0,0,0.81,17.72,1.61,0,0,28.2,0,4.03,0,0.81,0,0.81
 48-58,0,0,0.57,4.59,0,4.59,1.72,0.57,2.3,0.57,0.57,0,1.15,0,0,0.57,1.15,0,0.57,19.51,0.57,0.57,0,22.95,0,2.3,0,0,0,0
 60-70,0,0,0,4.91,0,13.74,3.93,0,0.98,0.98,0,0.98,0.98,0,0,2.94,0.98,0,0,25.52,0,0.98,0,34.35,0,1.96,0.98,0.98,0,0
 72-82,0,0,0.98,7.85,0,7.85,3.93,0.98,3.93,2.94,0.98,3.93,2.94,0,0,1.96,1.96,0,0,29.45,1.96,0.98,0,16.69,0,0.98,0.98,0.98,0,0
 84-94,0,0,0,9.56,1.06,7.43,8.5,0,5.31,4.25,1.06,2.12,2.12,0,1.06,3.19,3.19,0,1.06,12.74,1.06,0,0,55.23,0,1.06,1.06,0,0,0
 96-106,0,0,1.09,19.67,0,7.65,2.19,0,3.28,5.46,2.19,5.46,1.09,0,0,4.37,0,0,0,19.67,1.09,3.28,0,37.16,0,0,0,0,1.09,0
108-118,0,0,0,15.32,0,3.06,6.89,0,1.53,3.06,0.77,0,1.53,1.53,0,3.83,0.77,0.77,0,11.49,3.06,1.53,0,34.47,0,0.77,0.77,0,0.77,0
120,0,0,0,23.52,0,5.88,3.92,0,0,1.96,1.96,0,0,0,0,5.88,0,0,0,13.72,1.96,0,0,52.91,0,1.96,0,0,0,0
