stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,14,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.93,0,0,0,0.82,0,0,0,0.82,0,0,0,0,3.28,4.93,0,0.82,1.64,19.7,1.64,0,0,0,0,4.93,0,0,0.82,4.1,0,0,0,0,1.64
 36-46,0,0,0,1.61,0.81,0,18.53,0,0,0,2.42,0,0.81,0,0,0,0.81,0,0,0,10.47,0,0,1.61,51.56,0,0.81,0,0,0,3.22,0,0,0,12.09,0,0,2.42,0,4.03
 48-58,0,0,0,1.15,0,0,28.69,0.57,0.57,0.57,2.3,0,1.15,0,0,0,1.15,0,0,0.57,9.18,0,0.57,0.57,14.92,0,0,0.57,0,0,4.59,0,0,0,1.15,0,0,0.57,0,4.59
 60-70,0,0,0.98,0.98,0,0,73.61,0,0.98,0.98,3.93,0,0,0,0,0,0,0.98,0,0,10.8,0,0,3.93,25.52,0,0,0,0,0,14.72,0.98,1.96,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,2.94,0,0,171.79,0.98,2.94,1.96,13.74,0.98,0,1.96,1.96,0.98,0.98,0,0,0.98,25.52,0,1.96,5.89,42.21,0,0,0.98,0,0,19.63,0,1.96,0,1.96,0.98,0,1.96,0,1.96
 84-94,0,0,0,1.06,0,2.12,112.58,0,1.06,3.19,8.5,5.31,0,1.06,3.19,0,2.12,0,0,0,16.99,0,2.12,4.25,19.12,0,1.06,1.06,0,0,43.54,2.12,0,0,1.06,0,0,1.06,3.19,2.12
 96-106,0,0,0,10.93,1.09,0,93.98,1.09,2.19,0,19.67,5.46,0,1.09,1.09,0,1.09,3.28,2.19,0,14.21,0,3.28,2.19,27.32,4.37,1.09,1.09,0,0,54.64,0,1.09,0,1.09,0,3.28,4.37,5.46,0
108-118,0,0,0,6.89,1.53,1.53,65.87,1.53,2.3,0,9.96,0,0,0,0.77,0.77,3.83,0.77,0.77,0,16.85,0.77,1.53,5.36,29.87,0,0,0,0,0.77,32.94,0.77,0,0,0.77,0.77,0,2.3,2.3,1.53
120,0,0,0,9.8,0,3.92,66.63,1.96,1.96,3.92,7.84,0,0,0,5.88,0,3.92,0,0,0,5.88,0,3.92,1.96,37.24,0,0,1.96,0,0,21.56,0,0,0,0,0,1.96,1.96,1.96,0
