stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,10.8,0,0,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,1.96,0,0,6.87,0,0,1.96,1.96,127.62,0,0,0,3.93,0,2.94,0,8.83,0,1.96,1.96,56.94,0,0,0.98,0.98,0.98,0,0,0.98,0,0.98,0,1.96
 84-94,0,0,2.12,2.12,2.12,0,5.31,0,0,0,4.25,297.37,0,1.06,1.06,0,1.06,1.06,0,6.37,1.06,0,2.12,25.49,1.06,0,0,0,2.12,0,2.12,0,1.06,0,0,1.06
 96-106,0,0,6.56,14.21,9.84,0,33.88,0,3.28,1.09,16.39,450.25,2.19,6.56,1.09,0,2.19,13.11,0,31.69,0,2.19,3.28,158.46,0,1.09,0,0,20.76,1.09,4.37,3.28,1.09,3.28,5.46,1.09
108-118,0,0,4.6,6.89,3.83,0.77,24.51,1.53,2.3,0,13.02,546.9,0,2.3,1.53,1.53,0,6.89,2.3,22.98,0.77,3.83,3.06,117.19,0,1.53,2.3,0.77,8.43,0.77,1.53,1.53,1.53,2.3,0,0
120,1.96,0,7.84,5.88,1.96,0,5.88,0,0,0,3.92,401.76,0,0,0,0,0,7.84,0,5.88,1.96,0,1.96,105.83,5.88,0,1.96,3.92,7.84,0,1.96,0,1.96,1.96,0,0
