stage,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0
 10-12,3.15,0,0,0,3.15,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,0,4,1,0,0,0,0,1,2,3,0,0
 24-34,0,0,0,0,0.82,1.64,0,1.64,0,0,0,0,0.82,0.82,0,0.82,2.46,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,0,0,0,1.61,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,2.19,0,1.09,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
