stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,4,58,14,0,40,0,0,0,7,4,0,0,6,0,1,0,0,34,0,0,14,318,7,0,2,6,0,3,48,1,0,50,73,0,0,2,0,1
 24-34,0,0,12.31,1.64,0,42.68,0,0,0,7.39,4.1,0,0,3.28,0.82,0.82,0,1.64,33.66,0,0.82,15.6,306.18,0,3.28,4.93,0,0,1.64,0,0,0,12.31,60.74,0,0,9.03,0,0.82
 36-46,0,0,7.25,0,0,60.43,0,1.61,0.81,11.28,1.61,0,0,0.81,0,0.81,0,0.81,39.48,0.81,0,12.09,230.42,0,0.81,2.42,0,0.81,7.25,0,0,0,0,52.37,0,0.81,2.42,0,2.42
 48-58,0,0,1.15,1.72,0,49.92,1.72,0.57,2.3,16.64,0.57,0.57,0.57,0,0,1.72,0,1.15,43.61,0.57,1.15,8.03,61.97,1.72,0,2.87,0,0,3.44,0,0.57,0,0,20.08,0,0,2.87,0,0.57
 60-70,0,0,8.83,2.94,0,56.93,0,0.98,4.91,36.32,2.94,0,1.96,0.98,0.98,0.98,0.98,0,60.85,0,3.93,13.74,73.61,0.98,1.96,1.96,0,0.98,4.91,0,0,0,0,11.78,0,1.96,6.87,0,0
 72-82,0,0,6.87,2.94,0,25.52,0.98,0,1.96,20.61,2.94,0,1.96,1.96,0.98,0.98,0,0,36.32,0.98,0,7.85,28.47,0,1.96,4.91,0,0,5.89,0,0,0,0,1.96,0,0,2.94,0.98,0
 84-94,1.06,0,5.31,5.31,0,22.3,0,2.12,0,18.05,2.12,0,9.56,5.31,1.06,2.12,1.06,0,24.43,0,0,4.25,13.81,0,1.06,3.19,0,1.06,12.74,0,0,0,0,3.19,0,1.06,4.25,0,1.06
 96-106,2.19,0,18.58,10.93,0,31.69,0,1.09,3.28,24.04,3.28,0,6.56,1.09,1.09,6.56,1.09,0,59.01,0,2.19,14.21,40.44,1.09,3.28,5.46,0,1.09,19.67,0,1.09,0,0,4.37,1.09,2.19,5.46,2.19,2.19
108-118,0,0,20.68,3.06,0.77,22.98,0.77,0,3.06,17.62,3.06,0.77,3.83,0.77,1.53,1.53,0,1.53,25.28,0.77,0.77,10.72,40.6,0.77,4.6,1.53,0,3.06,20.68,0,0,0.77,0,1.53,0.77,0,3.06,2.3,1.53
120,0,0,17.64,3.92,0,13.72,0,1.96,0,17.64,5.88,1.96,7.84,0,0,1.96,1.96,0,37.24,0,0,13.72,48.99,0,0,1.96,0,0,7.84,0,0,0,0,1.96,0,1.96,0,0,3.92
