stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,17,1,0,0,0,0
 24-34,0,1.64,0,2.46,2.46,0,0,0,0,0,0,0,1.64,3.28,0,9.03,8.21,0,0.82,0,0,0,0,0,0,0.82,1.64,38.58,4.1,0,0,0,0
 36-46,0,0.81,0,1.61,11.28,0,0.81,0,0.81,0,0.81,0,0,6.45,0,1.61,9.67,0.81,0.81,0,0,0,0,0,0,0,0,2.42,1.61,0,0,0,0
 48-58,0,0,0,5.16,10.9,0.57,0,0.57,0,0,0.57,0,0,7.46,0,2.3,7.46,0,0,0,0,0,0,0,0,0,0.57,0,3.44,0,0.57,0,0
 60-70,0,0.98,0,3.93,10.8,0,0,1.96,0,0,0,0.98,0,11.78,0,7.85,9.82,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0.98,0.98,0
 72-82,0,0.98,1.96,5.89,5.89,0,1.96,0.98,0.98,0,1.96,0,0,9.82,0,3.93,9.82,0.98,0,0.98,0,0.98,0.98,0,0,0,0,0,1.96,0,0.98,0.98,0
 84-94,0,1.06,0,4.25,1.06,0,1.06,5.31,0,1.06,0,0,0,10.62,0,3.19,3.19,0,0,1.06,0,0,1.06,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,3.28,2.19,1.09,1.09,2.19,0,0,0,0,0,3.28,0,1.09,2.19,0,0,2.19,0,0,1.09,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0.77,8.43,0.77,0.77,5.36,2.3,0.77,0.77,0,0,9.96,0.77,4.6,3.06,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,1.96,0,13.72,0,0,0,0,0,0,3.92,0,7.84,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0
