stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,157.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,295.82,0,0,0,25.18,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,2,1,0,1,0,0,0,0,5,0,0,0,27,0,0,0,3,2,0,2,16,0,0,0,1,0,0,31,56,13,54,3,0,0,0,0,0
 24-34,0,0,0,4.1,1.64,0,0,3.28,0,0,0,0,3.28,0,2.46,0,15.6,0,0.82,3.28,1.64,0.82,0,2.46,52.53,0,8.21,0.82,0,0,0,0,32.01,38.58,4.93,15.6,0,0,0,0,0
 36-46,0,0,0,0.81,1.61,0,0,13.7,4.03,0,0,0.81,2.42,0,1.61,0,20.14,0,0,0.81,1.61,0.81,0,6.45,158.72,0,16.92,0.81,0,0,0,0,16.92,35.45,0.81,49.15,0,0,0,0,0
 48-58,0,0,0,0,2.87,0,0,30.41,1.72,0,0,3.44,0,0.57,1.72,0.57,9.18,0,1.72,0,3.44,1.72,0,6.31,276.57,0,7.46,2.87,0,0,0,0,5.16,22.95,0,68.28,0,0,0.57,0,0
 60-70,0,0,0,0,6.87,0.98,0,140.36,4.91,0.98,0.98,0.98,1.96,0,0.98,0,16.69,1.96,0,0.98,4.91,0.98,0,2.94,603.64,0,8.83,3.93,0,0,1.96,0,12.76,8.83,0,113.86,0,0,0,0.98,1.96
 72-82,0,0,0.98,0,9.82,0.98,0,174.74,1.96,0,0,11.78,1.96,0,1.96,0,20.61,0,0.98,0,11.78,2.94,1.96,1.96,482,0,9.82,6.87,0,0,3.93,0,7.85,7.85,0,59.88,0,0,0,0,0.98
 84-94,0,0,0,1.06,10.62,0,0,176.3,4.25,3.19,0,7.43,9.56,0,0,0,25.49,0,0,4.25,6.37,3.19,0,5.31,234.71,0,11.68,18.05,0,0,3.19,0,25.49,3.19,0,41.42,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,1.09,115.84,2.19,0,1.09,10.93,6.56,0,0,1.09,37.16,1.09,1.09,2.19,9.84,1.09,0,4.37,183.6,0,10.93,12.02,0,1.09,19.67,0,18.58,8.74,0,18.58,0,0,0,0,1.09
108-118,0,0,0.77,0,9.19,0.77,0,88.85,4.6,0,1.53,13.02,5.36,0,0,1.53,29.87,0,0,3.06,3.83,1.53,0.77,3.06,164.68,0,11.49,17.62,0,1.53,9.96,0,14.55,8.43,0,9.96,2.3,0.77,0.77,0.77,0
120,0,0,0,0,17.64,0,0,58.79,5.88,0,0,15.68,5.88,0,1.96,3.92,23.52,1.96,3.92,7.84,9.8,1.96,1.96,1.96,258.69,0,7.84,11.76,0,0,13.72,0,15.68,1.96,0,15.68,0,0,0,0,0
