stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,39.53,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,36.78,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,13.14,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,155.09,2.63,0,0,65.72,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,18.88,6.29,3.15,0,6.29,0,0,0,0
 14-21,0,0,0,0,15,3,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,53,0,0,1,1,38,0,5,1,4,17,0,0
 24-34,0,0,0,0,0.82,0,0,4.93,0,1.64,0,0,0,0,0,0,0,0.82,0,9.03,0,0,2.46,65.67,0,1.64,0,0,66.49,0,0,0,0.82,18.06,0,0
 36-46,0,0,0,0,0,0,0,20.14,0.81,0,0,3.22,0,0.81,0,0.81,0.81,0,0,4.03,0,0.81,3.22,133.74,0,0,0,0,54.79,0,0,0,0,20.14,0,0
 48-58,0,0,0,0,0.57,0,0,30.99,0,0,0.57,7.46,0,0,0.57,0,0,0,0,8.61,0,0,1.15,92.96,0,0.57,0,0,37.3,0,0,0,0,18.36,0,0.57
 60-70,0,0,0,0,0.98,0,0,86.37,0.98,0,0,7.85,0,0.98,0,0,0,0,0,13.74,0,0.98,0,254.21,0,1.96,0.98,0,38.28,0,0,0,0,38.28,0,0
 72-82,0,0,0,0,0.98,2.94,0,38.28,0,0,0,3.93,0,0.98,1.96,0,0,0,0.98,9.82,0,0,0,74.61,0,0,0.98,0,29.45,0,0,0,0,6.87,0.98,1.96
 84-94,0,0,0,0,4.25,1.06,0,27.61,0,0,0,4.25,1.06,1.06,2.12,0,1.06,0,0,10.62,0,1.06,0,64.78,0,0,0,0,98.77,0,0,1.06,0,9.56,0,1.06
 96-106,0,0,0,0,2.19,3.28,1.09,24.04,0,1.09,2.19,5.46,2.19,0,1.09,0,2.19,0,0,7.65,1.09,0,1.09,44.81,0,1.09,0,0,100.54,0,0,0,0,2.19,1.09,2.19
108-118,0,0,0.77,0,10.72,5.36,0,29.87,0,3.06,1.53,4.6,0,0,0.77,2.3,0.77,0.77,0.77,13.02,1.53,0,3.06,77.36,0,1.53,2.3,0,57.45,0,0,0,0,3.06,0,0.77
120,0,0,0,0,5.88,1.96,0,23.52,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,60.75,1.96,1.96,1.96,0,33.32,0,0,0,0,3.92,0,1.96
