stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,24.52,563.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,15.77,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,278.64,13.14,0,0,73.6,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,6.29,0,0,47.2,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,37,2,0,0,0,0,0,2,0,5,12,0,0,0
 24-34,0,0,0,0,4.1,0,5.75,0,0,0,1.64,0,0,0,0,0,0.82,0,0.82,4.93,0,0,6.57,64.03,0,0,0,0,0,4.1,0,0.82,0,10.67,0,1.64,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,1.61,0,0,0,0,0,0,0,0,6.45,0.81,0.81,0,23.36,0,1.61,0.81,0,0,1.61,0,0,0,6.45,0,0,0
 48-58,0,0,0,0,1.15,0,7.46,0.57,0.57,0,1.72,0,0,0,0,0,0,0,0,5.74,0.57,0,0,11.48,0.57,0,0.57,0,0,0,0,0,0,7.46,0,0,0
 60-70,0,0,0,0,1.96,0,13.74,0.98,0,0,1.96,0,0,0.98,0,0,0,0,0,3.93,0,0,3.93,11.78,0,0,0.98,0,0,0.98,0,0,0,3.93,0,0.98,0
 72-82,0,0,0,0,0.98,0,5.89,0,0,0,4.91,0.98,0,0,0,0,0,0,0,14.72,0,0,1.96,10.8,0,0.98,0.98,0,0,0.98,0,0.98,0,0,0,1.96,0
 84-94,0,0,0,0,3.19,0,7.43,0,0,0,4.25,0,0,0,2.12,0,0,0,0,9.56,0,1.06,3.19,9.56,1.06,0,0,0,1.06,2.12,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,4.37,0,0,2.19,3.28,0,0,0,0,0,0,1.09,0,3.28,0,0,0,7.65,0,1.09,0,0,0,3.28,0,0,0,2.19,1.09,0,0
108-118,0,0,0.77,0,3.83,0,3.06,0,0.77,0.77,5.36,0,0,0,0.77,0.77,0,0,0.77,9.96,0,0.77,0.77,15.32,0,0.77,0.77,0,0,3.06,0,0,0,0.77,0,1.53,0
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,11.76,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0
