stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2,0,0,0,6,1,0,3,11,0,0,0,0,0
 24-34,0,0,3.28,0,0,3.28,0,0.82,0,0,0,0,0,0.82,0,0,4.93,0,0,3.28,39.4,0.82,0.82,0.82,0,11.49,0,0,0.82,9.85,0,0,2.46,0,0
 36-46,0,0,1.61,0,0,4.83,0,0.81,2.42,0.81,0.81,0,0,0,0,0,4.03,0.81,0,1.61,34.64,0.81,0,0,0,6.45,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0.57,0,0,9.18,0,1.15,0.57,2.3,0,0,0,0,0,0.57,5.74,0.57,0,0.57,25.82,0,0,0,0,4.02,0,0,0,5.74,0,0,0,0,0
 60-70,0,0,2.94,0,0,6.87,0,0.98,0,0.98,0,0,0.98,0,0,0,4.91,0,0.98,0.98,22.58,0,0,0,0,6.87,0,0,0,3.93,0,0,0,0,0
 72-82,0,0,1.96,0,0,10.8,0,0,0,1.96,0,0.98,0,0.98,0,0,9.82,0,0.98,1.96,19.63,0,0,0,0,3.93,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,2.12,0,0,18.05,0,2.12,0,4.25,0,0,2.12,0,1.06,0,9.56,0,1.06,4.25,13.81,1.06,0,1.06,0,8.5,0,0,0,2.12,1.06,0,1.06,1.06,0
 96-106,0,0,6.56,0,0,5.46,1.09,0,1.09,2.19,0,1.09,1.09,1.09,0,0,6.56,1.09,0,1.09,10.93,0,0,0,0,8.74,0,0,0,0,0,0,1.09,0,2.19
108-118,0,0,3.83,0,0,5.36,0,2.3,0.77,3.06,2.3,0,2.3,0,0.77,0,8.43,0,0.77,0,13.79,0,0,0,0,6.13,0,0.77,0,0.77,0,0,0.77,0,0
120,0,0,7.84,0,1.96,1.96,0,0,1.96,3.92,3.92,0,0,0,0,0,5.88,3.92,0,0,7.84,0,0,0,0,15.68,0,0,0,0,0,1.96,0,0,0
