stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,1304.62,24023.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133.3,0,0,0,0,0,0,0,0
  5-6,1281.09,13521.98,6.13,0,0,0,0,0,55.17,0,0,0,0,0,0,0,214.54,0,36.78,257.44,0,0,0,0,0,0,0,0
  7-9,7.89,26.29,42.06,0,0,18.4,0,0,21.03,0,0,0,0,0,0,0,410.08,10.51,78.86,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,47.2,12.59,166.79,0,0,0,9.44,0,0,0,0,0
 14-21,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,10,9,54,0,0,129,0,4,23,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0,16.42,2.46,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,24.17,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,1.15,1.15,0,0,0,0,0,0,0,0,0,18.36,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,1.96,0.98,0,7.85,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0.98,0.98,0,0,0,0,0,0,0.98,0,0,5.89,0,0,0,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,0,0,3.19,0,0,0,0,0,0,1.06,0,0,5.31,0,0,0,0,0,0,0,0,1.06,1.06,5.31
 96-106,0,0,0,0,0,1.09,1.09,0,0,2.19,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0.77,1.53,0,0.77,0,0.77,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96
