stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,13.95,0.82,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0.81,3.22,0,0,0,0,0,0,0,0,1.61,0,23.36,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0.57,4.02,0,0.57,0,0,0,0,0,0,2.3,0.57,30.41,0,0,0,0.57,2.87,0,0,0
 60-70,0,0,0,0.98,0,2.94,0,0,0,0.98,0,0,0,0,1.96,0.98,48.09,0,0,0,1.96,5.89,0,0.98,0
 72-82,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,2.94,0,76.57,0,2.94,0,0,4.91,0.98,0.98,0.98
 84-94,0,0,0,0,0,7.43,0,2.12,0,2.12,0,1.06,0,0,5.31,1.06,27.61,0,0,0,2.12,3.19,0,0,0
 96-106,0,0,0,3.28,0,6.56,1.09,0,0,0,0,1.09,1.09,1.09,6.56,5.46,24.04,0,1.09,0,0,1.09,0,1.09,0
108-118,0,0,0.77,1.53,1.53,6.89,0.77,1.53,0,0,0.77,0,0,1.53,3.83,0.77,28.34,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,11.76,0,1.96,1.96,0,0,1.96,1.96,0,1.96,0,35.28,0,0,0,1.96,0,0,3.92,0
