stage,blastomeres,epidermis,eye,fin_epithelia,glial,ionocyte,iridophores,liver,mesenchyme,mucous,neural,periderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0
 14-21,0,18,0,0,0,0,0,0,0,0,1,3,0,0
 24-34,0,76.34,0,0.82,0,0,0,0,0,0.82,6.57,2.46,2.46,0
 36-46,0,30.62,0,2.42,0,0,0,0,0,0,5.64,0,0.81,0
 48-58,0,16.07,0.57,3.44,0,0.57,0.57,0,1.15,0.57,4.02,0.57,0,0
 60-70,0,19.63,0,5.89,0,0,0,0,0,0,1.96,0.98,0,0
 72-82,0,15.71,0,7.85,0,0,0,0,0,0.98,6.87,0,0,0
 84-94,0,46.73,2.12,15.93,2.12,0,0,0,1.06,0,9.56,0,0,0
 96-106,0,18.58,1.09,5.46,1.09,0,0,1.09,0,0,2.19,0,0,1.09
108-118,0,29.11,0,17.62,0,0,0,0,0,0,9.19,0,0,0
120,0,35.28,0,7.84,0,0,0,0,0,0,5.88,0,0,0
