stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,15,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,6,596,0,0,0,0,0,37,1,1,90,0,0,0,0
 24-34,0,0,5.75,13.95,0.82,25.45,0,0,0,16.42,0,0.82,0,0.82,0,1.64,3.28,0.82,12.31,0,0,1.64,1247.7,0.82,0,0,0,0.82,81.26,0,0.82,169.92,0,0,0.82,0
 36-46,0,0,2.42,6.45,0,31.42,0,0.81,0,103.93,0.81,0.81,0,0,0,2.42,1.61,0,13.7,0.81,0.81,1.61,739.6,0.81,0,0.81,0,0,52.37,0.81,0,120.85,0,0,0,0
 48-58,0,0,1.15,11.48,0,13.2,0,3.44,0.57,123.94,2.87,1.15,0,0,0,2.3,0,0,19.51,0.57,0.57,0.57,196.82,0,0.57,5.16,0,0.57,40.74,0.57,0,68.28,0,0,0,0
 60-70,0,0,0.98,23.56,0,11.78,0,3.93,0,222.81,2.94,0,0.98,0,0,1.96,1.96,0,18.65,0,2.94,0.98,131.52,0,0.98,4.91,0,0.98,57.91,3.93,0,44.17,0,1.96,0,0
 72-82,0,0,0.98,34.36,0.98,20.61,0,3.93,0,309.22,5.89,0,0,0.98,0.98,0.98,0.98,0,53.01,0,3.93,1.96,129.58,0,0.98,16.69,0,1.96,58.9,0.98,0,34.36,0,1.96,0,1.96
 84-94,0,1.06,3.19,70.09,0,33.99,0,5.31,0,216.66,25.49,0,0,6.37,1.06,1.06,1.06,0,39.3,2.12,5.31,1.06,116.82,0,7.43,16.99,0,0,207.1,0,0,32.92,1.06,4.25,0,0
 96-106,0,0,1.09,91.8,0,41.53,0,2.19,1.09,253.54,29.51,1.09,1.09,3.28,0,1.09,0,0,40.44,3.28,2.19,0,97.26,0,6.56,18.58,0,4.37,145.35,0,0,28.41,4.37,0,0,0
108-118,0,1.53,3.83,102.64,0,19.15,0.77,6.89,0,202.98,15.32,0,0,3.06,0,0,2.3,0.77,45.19,0,2.3,2.3,109.53,0.77,3.06,16.85,0,0.77,104.17,1.53,0,18.38,2.3,0,0,0
120,0,0,1.96,47.03,0,19.6,0,7.84,0,197.94,9.8,0,0,5.88,0,0,0,0,33.32,7.84,3.92,1.96,129.35,0,9.8,13.72,0,0,90.15,0,0,5.88,5.88,1.96,0,1.96
