stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,3,1,0,2,0,0,0,1,0,0,0,0,0,3,0,0,25,2,1,1,2,4,8,1,0,4,7,0
 24-34,0,0,0,0,0,0,0,1.64,0,0.82,0,0.82,0,1.64,0,0,0,6.57,0,2.46,31.19,0,0.82,0,0,0,0,0,0,1.64,5.75,4.93
 36-46,0,0,0.81,0.81,0,0,0,5.64,0,0,0,0.81,0,0,0,0,0,7.25,0,0.81,29.81,0,0,0,0,0.81,0,0,0,0,10.47,0.81
 48-58,0,0,0,0,0,0,0,4.02,0,0,0.57,0,0,0,0,0,0,4.02,0,0.57,14.35,0,0,0,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,0,9.82,0.98,0,1.96,1.96,0,0,0,0,0,5.89,0,0.98,28.46,0,0,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0,0,0,3.93,0.98,0,1.96,0,0,0,0,0.98,0,3.93,0,0,7.85,0,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,13.81,1.06,1.06,0,1.06,0,0,2.12,1.06,0,5.31,1.06,1.06,5.31,0,1.06,0,0,12.74,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,3.28,1.09,0,0,3.28,0,0,0,1.09,0,3.28,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0,0.77,3.83,0.77,0,0,3.83,0,0,0,0,0.77,7.66,0.77,2.3,7.66,0.77,0,0,0,7.66,0,0.77,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,1.96,0,1.96,0,0,0,0,0,1.96,0,1.96,7.84,0,0,1.96,0,3.92,0,0,1.96,0,0,0
