stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  3-4,39.53,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,18.39,373.91,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,7.89,0,10.51,0,0,0,0,0,0,0,0,36.8,0,13.14,2.63,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,44.06,0,12.59,0,0,3.15,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,2.46,0,0,5.75,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,8.86,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0.57,0.57,0,6.31,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,19.63,0,0,0,0
 72-82,0,0,0,1.96,1.96,0.98,0,0,0,0,0,0.98,0.98,0.98,0,0,23.56,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,54.16,0,0,0,0
 96-106,0,0,0,8.74,1.09,2.19,0,1.09,0,0,0,1.09,0,1.09,1.09,0,54.64,0,0,0,0
108-118,0,0,0,3.83,2.3,0,0.77,1.53,0,2.3,0.77,0,0,0,0,0,44.43,0,0,0,0
120,0,0,0,3.92,1.96,1.96,0,0,0,1.96,0,1.96,0,1.96,0,0,37.24,0,0,0,0
