stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,3,0,0,3,1,0,0,0,3,0,0,3,20,0,1,1,0,5,0,3,5,0,0,0
 24-34,0,0,0,0,4.1,0,4.1,0,0,0.82,0,0,0,0.82,4.1,0,0,0.82,45.15,0,1.64,0,0.82,0,0.82,0.82,8.21,0.82,0,0
 36-46,0,0,0,0,0.81,0,4.03,0,0,0.81,0,0,0,0,2.42,0,0,0.81,20.14,0.81,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,9.75,0,0,4.02,0,0,0.57,0,8.61,0,0.57,0.57,29.26,0,1.15,0,0.57,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,0.98,0,8.83,0,0,0.98,0,0.98,0,0,6.87,0,0,0.98,17.67,0,0.98,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0,0,0,0,7.85,0,0,1.96,0,0,0,0,7.85,0,0,0,8.83,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,1.06,0,1.06,0,2.12,0,3.19,0,1.06,2.12,0,0,0,0,4.25,0,0,1.06,2.12,0,0,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,1.09,0,3.28,0,0,2.19,0,0,0,0,3.28,0,0,0,10.93,1.09,0,0,0,0,0,0,1.09,1.09,0,1.09
108-118,0,0,0,0,0.77,0,3.06,0.77,0,3.06,0,0,0,0,0,0.77,0,0,3.06,1.53,0,0,0,0,0,0,0.77,0.77,0.77,0
120,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,3.92,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
