stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,2,3,1,0,0,0,2,0,0,0,3,0,0,1,21,1,0,0,0,0,2,4,7,0,0
 24-34,0.82,0,6.57,0,0,0.82,1.64,0.82,0.82,0,8.21,0,0,0.82,25.45,0.82,1.64,0,0,0,0.82,0,8.21,0,0
 36-46,0,0,26.59,0,0,0,0,0,0,0.81,4.03,0,0,1.61,13.7,0,0.81,0,0.81,0,0,0,2.42,0.81,0
 48-58,0.57,0,35.58,0.57,0,0,4.59,0,0,0,7.46,0,0,2.3,15.49,0,0,0,0,0.57,0,0,5.16,0,0
 60-70,0,0,51.04,0,0.98,0,4.91,0,0,0,5.89,0,0,0,11.78,0.98,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,39.27,0,0,0,11.78,0,0,0,12.76,0,0,0,13.74,0,0.98,0,0,0,0,0,0,0,0
 84-94,3.19,1.06,22.3,0,0,0,9.56,0,0,0,5.31,0,0,0,8.5,0,0,1.06,0,1.06,0,0,1.06,0,0
 96-106,1.09,2.19,15.3,0,0,0,17.49,1.09,0,0,6.56,0,1.09,0,8.74,0,0,0,0,1.09,0,0,1.09,0,0
108-118,1.53,1.53,14.55,0.77,1.53,0,9.19,0,0,0,5.36,0.77,0,0,6.13,0,0.77,0,0,0,0,0,0,0,0.77
120,1.96,1.96,11.76,0,0,0,7.84,0,0,0,3.92,0,0,0,17.64,0,1.96,0,0,1.96,0,0,0,0,0
