stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,43,0,0,1,0,0,0,21,0,0,0,0,0
 24-34,0.82,0,5.75,0,0,3.28,0,0,0,0,0,0.82,0,0,1.64,233.94,0.82,0,0,0,0,0.82,59.1,0,0,0,0,0
 36-46,0,0,3.22,0,0,8.86,0,0,0,0,0,0.81,0,0,1.61,374.64,0,0,0,0,0.81,0,66.87,0,0,0,0,0.81
 48-58,1.15,0,16.64,0,0.57,36.15,0,0,0,0,0,2.3,0,0.57,0.57,490.03,0,0,0.57,0,0,0,75.74,0,0,0,0,0
 60-70,2.94,0.98,39.26,0,0,50.06,0,0,0,0,0,7.85,0,0,0,698.84,0,0.98,0,0,0,0,63.8,0,0,0,0,0.98
 72-82,2.94,0,77.55,0,0,51.05,0.98,0,0,0,0.98,15.71,0.98,0,2.94,775.51,0,0,0,0,0.98,0,48.1,0,0.98,0,0,0.98
 84-94,6.37,2.12,72.22,0,0,29.74,1.06,0,1.06,0,0,10.62,0,0,0,369.59,0,0,0,0,0,0,20.18,0,0,1.06,1.06,0
 96-106,3.28,3.28,62.29,0,1.09,36.06,0,1.09,0,1.09,1.09,5.46,0,0,0,315.83,0,1.09,0,0,1.09,0,19.67,1.09,0,1.09,0,1.09
108-118,4.6,0,41.36,0.77,0.77,25.28,0.77,0,0.77,0,0,11.49,0,0,0,358.47,0,0,0,0,0.77,0,11.49,0.77,0.77,0.77,0,0
120,7.84,1.96,47.03,0,1.96,25.48,0,1.96,0,0,0,3.92,0,0,1.96,448.79,0,1.96,0,0,3.92,0,21.56,0,0,1.96,0,0
