stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,18.06,0,0,0,0,1.64,3.28,0,0.82,19.7,0,0,0,0,0,0,0,3.28,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,31.42,0,0,0,0,0,20.14,0,0.81,24.17,0.81,0,0,0,0,0.81,0,4.83,0,3.22,0,2.42
 48-58,0,0,0.57,0.57,0,2.87,0,0,0,5.74,0,0,38.44,0.57,1.72,0,1.15,0,150.34,0,1.72,32.13,0.57,0,0,0,0,0.57,0,2.87,0,2.87,0,12.05
 60-70,0,0,0.98,0,0,8.83,0,0.98,0,5.89,0,0,46.13,0.98,0.98,0.98,0,0,305.25,0,0,56.93,0,0,0.98,0,0.98,0,0,7.85,1.96,2.94,0,10.8
 72-82,0,0,2.94,0,0,12.76,0,0,2.94,7.85,0,0,58.9,0,1.96,0,0,0,373.03,0,0.98,55.95,0,0,0.98,0,0,0.98,0.98,8.83,1.96,4.91,2.94,10.8
 84-94,0,0,2.12,2.12,0,21.24,2.12,0,0,9.56,1.06,0,89.21,1.06,2.12,0,0,2.12,334.54,1.06,1.06,32.92,0,0,1.06,0,0,1.06,0,3.19,3.19,7.43,0,7.43
 96-106,0,1.09,2.19,1.09,1.09,8.74,3.28,0,0,13.11,1.09,1.09,134.42,1.09,6.56,1.09,0,1.09,153,0,0,33.88,0,1.09,4.37,0,0,0,0,3.28,1.09,6.56,0,10.93
108-118,0,0.77,0,1.53,0.77,5.36,0.77,2.3,0.77,9.19,0,0,91.15,0,11.49,1.53,0,0.77,88.09,1.53,0,32.17,0,0,3.83,0,0,0.77,0,2.3,0,5.36,0,20.68
120,0,0,5.88,1.96,0,5.88,1.96,0,1.96,3.92,0,0,97.99,0,5.88,3.92,0,1.96,97.99,1.96,0,31.36,0,0,1.96,0,1.96,0,0,0,0,13.72,0,5.88
