stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,303.09,5732.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,355.52,4750.47,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,104.2,18.39,0,0,61.3,0,61.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,89.38,131.44,0,181.38,0,0,0,483.68,0,0,0,0,139.32,0,0,0,0,0,0,0,0,0,0,0,3517.22,110.41,0,0,1343.27,0,18.4,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,151.05,0,147.91,0,37.76,0,361.9,0,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,3146.97,107,0,0,1079.41,0,3.15,9.44,12.59,125.88,0,3.15,12.59,0,0,0,0,0
 14-21,0,1,0,17,315,86,0,220,0,0,37,13,1,3,1,8,1,1,2,4,172,0,0,154,1967,69,11,32,67,0,50,4,232,23,1,298,550,0,0,18,0,4
 24-34,0,0,0.82,13.95,91.12,86.19,0,471.17,2.46,5.75,64.85,10.67,0,6.57,7.39,12.31,4.93,14.78,4.1,0.82,426.85,2.46,0,173.2,2383.77,18.06,14.78,37.76,0,0.82,108.35,0,3.28,4.93,1.64,58.28,537.66,0,0,82.91,0,3.28
 36-46,0,0,0.81,2.42,35.45,25.78,0,467.29,2.42,8.06,37.06,4.83,0,5.64,5.64,1.61,1.61,5.64,6.45,1.61,359.33,0.81,9.67,117.63,1094.1,4.83,8.06,20.14,0,0,58.81,0,0.81,4.03,0,0,243.31,0,0,39.48,0,1.61
 48-58,0,0,0.57,0.57,30.41,8.61,0,296.08,3.44,14.92,58.53,6.89,0.57,8.61,8.03,1.15,2.3,5.74,4.02,1.72,462.49,2.87,22.38,93.53,429.78,5.16,4.59,20.08,0,1.72,41.31,0,0,1.15,0,0,86.64,0,3.44,39.02,0,1.72
 60-70,1.96,0,0,0,53,9.82,0,328.81,5.89,10.8,107.97,15.7,0,6.87,17.67,0.98,1.96,4.91,1.96,3.93,658.6,2.94,33.37,95.21,370.03,11.78,6.87,10.8,0,3.93,56.93,0,0,2.94,0,0,47.11,0,13.74,38.28,4.91,1.96
 72-82,0,0,0.98,0,59.88,22.58,0,109.95,4.91,23.56,107.98,16.69,0,13.74,41.23,8.83,1.96,13.74,2.94,0,805.94,4.91,39.27,105.04,295.48,10.8,5.89,13.74,0,2.94,49.08,0,0,2.94,0,0,19.63,2.94,23.56,62.83,15.71,1.96
 84-94,0,0,1.06,0,100.89,31.86,0,116.82,13.81,24.43,50.98,35.05,2.12,6.37,24.43,6.37,6.37,11.68,2.12,0,525.71,4.25,40.36,84.96,187.98,10.62,8.5,16.99,0,4.25,139.13,0,0,9.56,0,0,14.87,4.25,21.24,79.65,24.43,1.06
 96-106,0,0,3.28,3.28,123.49,60.11,0,100.54,8.74,18.58,86.33,60.11,0,16.39,79.78,8.74,4.37,20.76,4.37,0,613.09,8.74,24.04,90.71,238.24,14.21,21.86,37.16,0,12.02,199.99,0,0,9.84,0,0,7.65,3.28,17.49,114.75,30.6,2.19
108-118,0,0,0.77,0,115.66,66.64,0.77,61.28,15.32,9.96,79.66,35.23,0,6.13,58.21,10.72,8.43,9.19,6.89,2.3,602.05,4.6,22.98,88.85,220.6,13.79,15.32,24.51,0,12.26,157.02,0,0,3.83,0,0,7.66,9.96,12.26,73.53,19.15,6.13
120,0,0,1.96,3.92,96.03,68.59,1.96,107.79,5.88,11.76,70.55,33.32,0,5.88,48.99,11.76,7.84,13.72,9.8,0,470.35,5.88,17.64,94.07,197.94,15.68,9.8,21.56,1.96,5.88,137.18,0,0,0,0,0,9.8,3.92,7.84,76.43,17.64,0
