stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,2,112,1,5,0,1,0,0,0,2,0,0,1,138,0,0,1,0,0
 24-34,0,0.82,0,0.82,1.64,0,20.52,0,0,0,5.75,0.82,0.82,0,0,0,0,0.82,0,9.03,0,0,7.39,614.82,0,39.4,1.64,0,0,0,0,0,0,0,0.82,311.1,0,0,4.93,0,0
 36-46,0,0.81,0,0,0,0,82.98,0,0.81,0.81,16.11,0,0,0,0,0,0,0,0,8.86,0,0,3.22,1256.04,1.61,45.12,0,0,0.81,1.61,0,0,0.81,0,0,443.12,0,0,2.42,0,0
 48-58,0.57,0,0,3.44,0.57,0,374.12,0.57,0,0,44.18,0,0,0,0,0,0,0,0,21.8,0.57,0,3.44,1420.17,0,23.53,1.15,0,0,0,0,0,0,0,0,378.14,0,0,1.15,0,1.15
 60-70,0,0,0,3.93,0,0,1638.16,0,0,1.96,79.5,0,0,0.98,0,0,0,0,0,36.32,0,2.94,3.93,2136.77,0.98,27.48,0,0,0,0,0,0,0,0,0,409.29,0,0,0,0,1.96
 72-82,0,1.96,0,18.65,3.93,0,2361.88,0,3.93,2.94,124.67,0.98,0,0.98,1.96,0.98,0.98,0.98,0.98,62.83,0.98,1.96,3.93,2386.42,0,66.75,0.98,0,0.98,1.96,0.98,0,0,0,0,229.71,1.96,0.98,0.98,3.93,1.96
 84-94,0,0,0,39.3,4.25,0,1803.34,0,0,1.06,121.07,1.06,1.06,3.19,0,3.19,2.12,2.12,0,63.72,1.06,1.06,4.25,1292.5,0,50.98,3.19,0,0,8.5,0,0,1.06,0,0,148.69,1.06,1.06,3.19,3.19,1.06
 96-106,0,2.19,0,27.32,4.37,1.09,1646.92,1.09,2.19,1.09,126.77,1.09,1.09,3.28,0,1.09,0,4.37,0,41.53,1.09,1.09,2.19,1184.65,1.09,103.82,3.28,0,0,6.56,0,0,0,1.09,0,80.87,1.09,2.19,3.28,1.09,2.19
108-118,0,0,0,18.38,4.6,0,1233.2,1.53,3.06,0.77,93.45,4.6,0,5.36,0.77,1.53,0.77,1.53,0,32.94,0.77,0,5.36,1340.44,0.77,68.17,2.3,0,0,3.06,0,0,1.53,0,0,58.98,3.06,0,1.53,1.53,0
120,0,0,0,19.6,1.96,1.96,852.51,0,0,0,92.11,1.96,0,7.84,0,1.96,1.96,3.92,0,23.52,0,0,3.92,1121,0,48.99,0,0,0,0,0,0,0,0,0,56.83,1.96,0,3.92,0,1.96
