stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,0,0,0,0.82,0,0,0,0,0,3.28,0,0,1.64,7.39,1.64,0,0,0,0,1.64,0,0,0,0,5.75,0,4.1,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,1.61,3.22,0,0,0.81,19.34,3.22,0,0,0,0,4.03,0,0,0,0,8.86,0,5.64,0,0
 48-58,0,0,0,0.57,0,0,0,1.15,0,0.57,0,0,0,0,1.72,2.87,0,0.57,1.15,31.56,1.15,0.57,0,0,0,2.3,0,0.57,0.57,0,4.59,0,2.3,0,0
 60-70,0,0,0,12.76,0,0,0,2.94,0,0.98,0.98,0,0,0,4.91,11.78,0,3.93,0.98,56.93,3.93,0,0,0,0,0.98,0,0.98,0,0,4.91,0,2.94,0,0
 72-82,0,2.94,0,62.83,0.98,0,1.96,4.91,0,0.98,0,0.98,0,0,5.89,9.82,0.98,0.98,0,58.9,2.94,0,0,0,0,0,0,0,0,0,4.91,0.98,5.89,0,0
 84-94,0,2.12,0,63.72,0,0,1.06,3.19,1.06,0,0,2.12,0,0,15.93,8.5,0,2.12,1.06,26.55,2.12,1.06,0,0,0,13.81,0,1.06,0,0,3.19,2.12,7.43,2.12,0
 96-106,0,1.09,0,68.85,0,0,2.19,6.56,1.09,3.28,0,2.19,0,0,7.65,5.46,0,4.37,0,32.79,2.19,2.19,1.09,0,1.09,13.11,0,0,1.09,0,1.09,1.09,6.56,1.09,1.09
108-118,0,2.3,0,48.26,0,0.77,0,4.6,2.3,0,1.53,5.36,0,0.77,10.72,11.49,0,0.77,0,32.17,0,0.77,0,0,0,4.6,0,0,0,0,1.53,1.53,7.66,0.77,0
120,0,1.96,0,43.12,1.96,1.96,0,7.84,0,0,0,0,1.96,0,3.92,3.92,0,1.96,1.96,45.08,3.92,1.96,0,0,0,5.88,0,1.96,0,0,1.96,0,0,0,0
