stage,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,1.64,0,11.49,0,0,3.28,0,0,0
 36-46,0,0.81,0,0,0,0,1.61,37.06,0,0,4.83,0,0,0
 48-58,0,1.72,0.57,0,0,1.72,0,76.89,0,0,5.16,0,0,0
 60-70,0,14.72,6.87,0,0,3.93,0,197.29,0,0,13.74,0,0.98,0
 72-82,0.98,20.61,4.91,0.98,0,3.93,0,159.03,0,0,12.76,0,0,0
 84-94,1.06,23.36,3.19,0,0,3.19,0,72.22,0,0,2.12,0,0,0
 96-106,0,8.74,4.37,0,0,2.19,1.09,76.5,0,0,2.19,1.09,0,0
108-118,0,13.02,3.83,0,0,0.77,0,97.28,0.77,0,0,0,0,0.77
120,0,9.8,9.8,0,1.96,1.96,0,74.47,0,0,1.96,0,0,0
