stage,blastomeres,endoderm,epidermis,eye,glial,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,0,0,31.54,0,0,10.51,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,28.32,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,3,0
 24-34,0,0,0,0.82,0,0,1.64,0,13.13,0,0,0,0.82,0,0.82,0.82,1.64
 36-46,0,0,0,0,0,0,1.61,0.81,10.47,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,1.15,0.57,0,1.15,0,2.3,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,3.92,0,0,0,1.96,0,0,0,0
