stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,1
 24-34,0,0,0,0,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,1.64,0,1.64,10.67,0.82,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,3.22,0,0,0.81,1.61,0,0,0,0,0,0,2.42,0,0,12.89,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,6.31,0.57,0,0,0.57,0,0,0,0,0,0,9.75,0,1.72,6.31,0,0,0,0,0,0.57,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,9.82,0,0,0,2.94,0.98,0.98,0,0,0,0,26.5,0,2.94,11.78,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,14.72,0,0,0,4.91,0.98,0,0,0,0,0,62.83,0.98,5.89,10.8,0,0,0,0,0,0,0,1.96,0,0,1.96,0.98,0.98,0.98,0,0
 84-94,0,0,0,1.06,0,0,15.93,0,0,0,2.12,1.06,0,0,0,0,1.06,53.1,0,0,7.43,0,0,0,0,0,0,0,9.56,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,3.28,0,0,12.02,0,1.09,0,7.65,0,1.09,3.28,1.09,0,2.19,65.57,1.09,2.19,18.58,0,2.19,2.19,0,0,2.19,0,43.71,0,0,1.09,0,0,1.09,1.09,2.19
108-118,0,0,0,3.06,0,0.77,4.6,0,1.53,0,6.89,0,0,1.53,0,0,7.66,72,0,5.36,13.79,0,0,3.06,0,1.53,0,0,55.92,0,0,0,0,1.53,0.77,0.77,3.06
120,0,0,0,5.88,1.96,1.96,11.76,1.96,0,0,5.88,0,0,3.92,0,1.96,7.84,64.67,0,3.92,25.48,0,0,3.92,0,0,0,0,47.03,0,0,0,1.96,0,0,0,0
