stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,47.2,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,3,0,0,0,0,0,0,0,0,1,18,1,0,0,0,7,8,0,0,0,0
 24-34,0,0,0,1.64,2.46,1.64,0,0,0,0,0,0,0,46.79,2.46,0,0,0.82,0.82,12.31,0,3.28,0,0.82
 36-46,0,0,0.81,2.42,2.42,5.64,0,0,0,0,0,0,0,30.62,0.81,0,0,0,0,9.67,0,4.03,0,0
 48-58,0,0,0,0.57,1.15,2.87,0.57,0,0,0.57,0,0,0,15.49,0.57,0,0,0,0,3.44,0,2.3,0,0
 60-70,0,0,2.94,0,1.96,12.76,0,0,0,0,0,0,0,12.76,1.96,0,0.98,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,0.98,8.83,0.98,0.98,0,0.98,0,1.96,0.98,6.87,1.96,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,2.12,1.06,5.31,5.31,0,0,0,0,0,0,0,9.56,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,1.09,0,3.28,0,0,0,1.09,0,0,0,3.28,1.09,0,0,0,0,0,0,4.37,0,0
108-118,0,0,4.6,0,4.6,5.36,0,0,0.77,0.77,0.77,0,0,5.36,1.53,0,0,0,0,0,0.77,3.06,0.77,0
120,0,0,0,0,0,7.84,0,1.96,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0,0
