stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,10.51,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,97.56,116.44,0,0,34.62,0,3.15,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,60,3,0,1,0,0,0,0,0,0,1,0,0,0,23,0,0,14,15,48,0,1,1,0,1,0,6,0,0,2,35,0,3,0,0
 24-34,0,0,0,59.1,1.64,0,8.21,4.93,1.64,0.82,0,0,0,0,0,0,0,56.64,0,0,44.33,9.03,20.52,0,2.46,0,0,4.1,0,0,0,0,11.49,17.24,0,4.1,0,0.82
 36-46,0,0,0,32.23,0,0.81,9.67,15.31,2.42,0,0,1.61,0,1.61,0,0.81,0.81,89.43,0.81,0,40.28,7.25,14.5,0,1.61,0,0,7.25,0,0,0,0,0,7.25,0,0,0,0
 48-58,0,0,0,14.35,0,2.87,12.05,13.77,6.89,0,0,0,0,0,0.57,0.57,0,117.63,0,0.57,21.8,7.46,6.89,0,4.02,0,0,12.05,0,0,0.57,0.57,0,6.89,0,0.57,0,0
 60-70,0,0,0,18.65,0,3.93,5.89,10.8,0.98,0,0,0,0.98,0,0,0,0,170.78,0,1.96,13.74,3.93,2.94,0,4.91,0,0,4.91,0,0,0,0,0,1.96,1.96,0,0,0
 72-82,0,0,0,10.8,0.98,6.87,0.98,10.8,0.98,0,0,0,0,0,0,0,0,176.7,0,2.94,9.82,2.94,0.98,0,3.93,0,0,2.94,0,0,0,0,0,0,5.89,0.98,1.96,0
 84-94,0,0,0,16.99,1.06,4.25,3.19,8.5,0,0,0,0,0,1.06,0,0,0,114.7,0,0,4.25,1.06,4.25,0,0,0,0,2.12,0,0,0,0,0,0,2.12,4.25,4.25,1.06
 96-106,0,0,0,5.46,0,0,2.19,7.65,0,1.09,0,0,0,0,0,0,0,67.76,0,1.09,7.65,1.09,1.09,0,1.09,0,0,2.19,0,0,0,0,0,0,5.46,0,4.37,0
108-118,0,0,0,2.3,0,1.53,2.3,5.36,0,0,0,0,0,0,0,1.53,0,27.57,0,0,0.77,2.3,0.77,0.77,1.53,0,0.77,0.77,0,0,0,0,0,0,1.53,0,1.53,0
120,0,0,0,5.88,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,15.68,0,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
