stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,30,0,1,0,0,2,0,0,0,1,0,0,0
 24-34,0,0,2.46,0.82,0,0,0.82,66.49,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,44.31,0,2.42,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,1.15,0,0,0,18.94,0,8.03,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0.98,0,1.96,0,0,0,21.59,0,12.76,0,0,0,0,0,0,0,0,0,2.94
 72-82,0,8.83,8.83,4.91,0,0.98,0,12.76,0,12.76,0,0.98,2.94,0,9.82,0,0,1.96,0,3.93
 84-94,0,2.12,9.56,0,0,0,0,19.12,1.06,12.74,0,0,1.06,0,14.87,0,0,0,1.06,2.12
 96-106,0,21.86,1.09,2.19,1.09,0,0,33.88,3.28,9.84,0,0,1.09,0,4.37,1.09,0,0,0,13.11
108-118,0,18.38,4.6,1.53,0.77,0,0,20.68,3.83,10.72,0.77,0,2.3,0,11.49,0,0,0.77,0,9.19
120,0,15.68,11.76,0,1.96,0,0,33.32,3.92,5.88,0,0,3.92,0,1.96,0,0,0,0,7.84
