stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,7.89,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.75,7.89,0,0,70.98,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,3.15,0,3.15,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.14,0,0,0,151.05,0,3.15,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,223,7,18,0,0,0,3,0,0,0,0,4,0,0,0,1,35,3,0,27,328,7,2,5,8,0,307,55,3,16,68,55,0,0,1,0,1
 24-34,0,0,0,340.66,2.46,19.7,0,3.28,0,1.64,0,0.82,9.85,0.82,0.82,0,0.82,0,0.82,68.13,7.39,2.46,23.8,192.9,0.82,6.57,0.82,0,1.64,402.22,1.64,0.82,4.93,2.46,13.13,0,0,2.46,0,1.64
 36-46,0,0,0,208.67,1.61,9.67,0.81,4.83,0,4.83,0,0,12.09,0.81,1.61,0,0,0,0,76.54,4.03,18.53,12.89,119.24,2.42,3.22,0,0,0.81,455.2,0.81,0,0.81,0,15.31,0,0,4.03,0,3.22
 48-58,0,0,0,109.02,1.15,14.35,1.15,6.31,0,1.72,0,0,7.46,0,1.15,0,0,0,0.57,68.28,0,24.67,10.9,53.36,0,0,0,0,4.59,188.21,0,0,0,0,12.62,0,0.57,1.72,0,0.57
 60-70,0,0,0,36.32,0,24.54,1.96,6.87,0.98,0.98,0,0,4.91,0.98,0,0,0,0,0,120.73,1.96,34.35,17.67,52.02,0.98,0,0.98,0,5.89,68.71,0,0,0,0,0,0,12.76,1.96,9.82,0
 72-82,0,0,0,21.6,0.98,25.52,0,1.96,0,4.91,0,0,4.91,0.98,0,0,0,0,0,167.86,0.98,53.99,17.67,44.17,0,0,0.98,0,10.8,41.23,0,0,0.98,0,1.96,1.96,26.5,2.94,43.19,0
 84-94,0,0,0,37.17,1.06,14.87,0,4.25,0,3.19,0,0,7.43,0,3.19,0,0,1.06,0,91.34,1.06,65.85,7.43,19.12,0,0,1.06,0,7.43,126.38,0,2.12,0,0,1.06,0,23.36,1.06,25.49,0
 96-106,0,0,0,28.41,0,16.39,2.19,2.19,2.19,3.28,1.09,0,30.6,3.28,1.09,1.09,0,1.09,0,180.32,0,62.29,16.39,48.09,2.19,0,1.09,0,16.39,41.53,0,8.74,0,0,1.09,0,24.04,2.19,49.18,0
108-118,0,0,0,17.62,0.77,10.72,2.3,0.77,0,2.3,0.77,0,6.89,0.77,0,0,1.53,1.53,0.77,160.85,0,52.09,16.85,26.04,0,0,0,0,23.74,29.87,0,16.09,0,0,1.53,0,7.66,0,29.11,0
120,0,0,0,9.8,0,13.72,1.96,0,0,0,0,0,5.88,0,0,0,0,1.96,0,143.06,1.96,52.91,7.84,43.12,0,0,1.96,0,21.56,21.56,0,13.72,0,0,1.96,0,17.64,0,43.12,0
