stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,408.52,6892.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,2899.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,18.39,67.43,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,10.51,0,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,176.12,15.77,0,0,44.69,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,204.55,6.29,0,0,18.88,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,2,31,2,0,27,0,1,0,2,0,2,0,0,0,0,6,0,2,94,0,0,0,2,1,0,6,0,5,18,16,0,0,0,0
 24-34,0,0,0,1.64,16.42,0.82,0,11.49,0,3.28,0,2.46,0,0,4.1,0,0,0,3.28,0,1.64,59.92,0.82,0,0,0,2.46,0,0,0,0.82,2.46,9.85,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0,2.42,0,0,2.42,0,0,0,2.42,0,0,25.78,0.81,0,0,0,1.61,0,0,0,0.81,0,4.83,0,0,0.81,0.81
 48-58,0,0,0,0,4.02,0,0,5.16,1.15,1.15,1.15,5.16,0,0,2.3,0,0,0,4.59,0,1.15,14.35,0.57,0.57,0,0,2.3,0,0,0,0.57,0,1.72,0,0,0,0
 60-70,0,0,0,0,4.91,0,0,9.82,0,1.96,0,2.94,0,0,2.94,0,0,0,10.8,0,0.98,3.93,0,0,0,0,1.96,0,0,0,0,0,3.93,0,0.98,0,0
 72-82,0,0,0,0,2.94,0,0,5.89,0,1.96,1.96,3.93,0,0,3.93,0,0,0,7.85,0,0.98,8.83,0,0,0.98,0,3.93,0,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,4.25,0,0,6.37,0,4.25,1.06,3.19,1.06,0,4.25,0,1.06,1.06,14.87,0,0,5.31,0,0,2.12,0,7.43,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,4.37,1.09,0,7.65,0,3.28,0,1.09,0,0,7.65,1.09,1.09,0,16.39,0,0,7.65,1.09,0,5.46,0,2.19,0,0,1.09,0,0,0,1.09,1.09,3.28,0
108-118,0,0,0,0,6.89,0.77,0,3.06,0,3.83,1.53,1.53,0,0,4.6,0.77,0.77,0,13.02,0.77,2.3,8.43,0,2.3,0.77,0,4.6,0,0,0,0.77,0,0,0,0.77,0.77,0
120,0,0,0,0,13.72,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,9.8,0,0,13.72,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
