stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,hatching_gland,heart,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature
  3-4,65.89,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,392.3,6.13,0,0,0,0,12.26,0,0,0,18.39,0,6.13,18.39,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,26.29,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,5,31,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0.82,0.82,9.03,0.82,0,0,0.82,1.64,5.75,4.1
 36-46,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,8.86,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,4.59,0
 60-70,0,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,2.12,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,3.28,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,2.3,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
