stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,0,2,0,0,0,0
 24-34,0,0,1.64,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,1.64,31.19,0.82,0,0,0,2.46,0,0,0.82,8.21,0,0,0.82,0
 36-46,0,0,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0,0,2.42,2.42,0,32.23,0,0,0,0,1.61,0,0,0,2.42,0,0,0.81,0
 48-58,0,0,0.57,0,55.66,0,0,0,0.57,0,0,0,0,0,0,0.57,0,2.3,0,0.57,37.3,0.57,0.57,0,0,0.57,0,0,0,7.46,0,0,0,0
 60-70,0,0,0.98,0,264.03,0,0.98,0.98,0,0,0,0,0,0,0.98,1.96,0,3.93,0,0,57.91,0,0,0,0.98,0.98,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,350.45,0,0,0,2.94,0,0,0,0,0,0,2.94,0,8.83,3.93,2.94,41.23,0,0.98,0,0.98,2.94,0,0,0,7.85,4.91,0.98,0.98,1.96
 84-94,0,0,1.06,0,326.05,0,0,0,4.25,2.12,0,2.12,1.06,0,1.06,3.19,0,9.56,5.31,0,16.99,0,0,0,0,0,0,0,0,1.06,4.25,1.06,1.06,0
 96-106,0,0,0,0,225.13,0,0,0,1.09,0,0,0,0,0,0,1.09,0,15.3,5.46,0,15.3,0,0,0,0,1.09,0,0,0,1.09,5.46,1.09,0,0
108-118,0,0,1.53,0,187.66,0.77,0,0,3.06,0.77,0,0,0,0.77,0,0.77,0,4.6,3.06,0,19.15,0.77,0,0,0,0.77,0,0,0.77,0.77,2.3,0,1.53,0
120,0,0,3.92,3.92,178.34,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,11.76,1.96,3.92,19.6,0,0,0,0,0,0,1.96,0,0,1.96,0,3.92,0
