stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,1,0,7,0,0,0,0,0,0,0,1,0,0,0,3,11,2,0,0,2,28,30,0,1,0,0,2,1,1,0,1,9,0,0,0,2,0,9
 24-34,0,0,3.28,2.46,0,20.52,0,0,0,0,0.82,0,0.82,4.93,0,0,0,3.28,20.52,6.57,0.82,0,4.1,45.15,3.28,0,0.82,0,0,6.57,0,0,3.28,1.64,2.46,5.75,0,0,22.16,0,21.34
 36-46,0,0,2.42,0.81,0,12.89,2.42,0,0.81,2.42,0,0,0,4.03,0,7.25,0,0,15.31,12.09,0,0,2.42,32.23,0.81,0,0,0,0,5.64,0.81,0,0.81,0.81,0,4.03,0,0,16.11,0,20.14
 48-58,0,0,2.3,0,0,25.25,0,0.57,1.15,9.75,0.57,0,0,2.3,0,13.77,0,0,19.51,18.36,0,0,5.16,30.99,0.57,0,0.57,0,0,4.59,0,0,1.15,0,0,1.72,0,0,10.9,0,34.43
 60-70,0.98,0,6.87,0,0,36.32,0.98,0.98,1.96,23.56,0,0,0,1.96,0,40.24,0,0,6.87,26.5,0,1.96,3.93,37.3,0,0,0.98,0,0.98,13.74,0,0,2.94,0,0,5.89,0,0,11.78,0.98,24.54
 72-82,0,0,0,0,0,37.3,0,0.98,1.96,30.43,1.96,0,1.96,6.87,1.96,42.21,2.94,0.98,13.74,47.12,0,3.93,4.91,64.79,0,0,0,0,0,10.8,0,0,1.96,0,0,0.98,0,0,16.69,0,18.65
 84-94,0,0,9.56,2.12,0,67.97,1.06,2.12,1.06,19.12,5.31,0,0,15.93,2.12,65.85,0,0,14.87,23.36,0,1.06,2.12,40.36,0,0,0,0,0,19.12,0,0,8.5,0,0,2.12,1.06,0,15.93,0,20.18
 96-106,0,0,16.39,4.37,1.09,61.2,1.09,4.37,1.09,29.51,4.37,0,1.09,24.04,3.28,53.55,1.09,0,15.3,17.49,1.09,1.09,3.28,34.97,0,2.19,1.09,0,2.19,34.97,0,0,8.74,0,0,3.28,0,2.19,16.39,0,18.58
108-118,0,0,16.85,2.3,0.77,59.75,0.77,2.3,0.77,32.94,4.6,0,1.53,18.38,3.06,79.66,0.77,1.53,16.85,26.81,0,0.77,5.36,34.47,0.77,0.77,3.06,0,1.53,23.74,0,0,9.19,0,0,0.77,1.53,0,12.26,3.83,26.04
120,0,0,17.64,1.96,1.96,19.6,0,3.92,0,23.52,13.72,1.96,0,31.36,3.92,50.95,0,0,5.88,23.52,1.96,0,3.92,54.87,1.96,0,3.92,0,0,15.68,0,0,9.8,0,0,0,0,0,5.88,3.92,3.92
