stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,42.06,7.89,0,0,44.69,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,22.03,9.44,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,78,17,22,0,0,0,0,1,0,1,7,3,0,0,8,5,17,0,0,10,60,94,0,0,4,36,0,21,4,2,27,13,0,0,18,0,1
 24-34,0,0,0.82,0.82,21.34,2.46,17.24,0,1.64,0,2.46,0,0,0.82,10.67,6.57,0,2.46,3.28,5.75,26.27,0.82,0.82,11.49,34.48,8.21,0.82,0,0,38.58,0,0,4.93,2.46,4.93,5.75,0,0,60.74,0,14.78
 36-46,0,0,0,0,23.36,0,8.06,0.81,0,4.03,1.61,0,0,1.61,24.17,4.03,4.83,0.81,0,8.06,33.03,0,0.81,12.89,34.64,0.81,0,0.81,0,65.26,0,0,0.81,0,0,11.28,0,0,21.75,0,11.28
 48-58,0,0,0,0,12.62,0,14.92,0,2.87,4.59,0.57,0.57,1.15,0.57,12.62,1.15,3.44,0,0.57,9.18,24.1,0.57,1.72,5.74,20.08,0.57,0,0.57,0,48.77,0.57,0,2.3,0,0,4.02,0,0,14.35,0,14.35
 60-70,0,0,0,0,12.76,0,26.5,0,3.93,0,3.93,1.96,1.96,0.98,36.32,2.94,2.94,0.98,0.98,5.89,30.43,0,2.94,1.96,38.28,1.96,0,0.98,0,55.95,0,0,1.96,0,0,3.93,0.98,0.98,13.74,0.98,3.93
 72-82,0,0,0.98,0,26.5,0,6.87,0,3.93,0.98,5.89,5.89,0.98,0,20.61,3.93,3.93,0.98,1.96,3.93,48.1,0,0.98,7.85,25.52,0,0.98,0.98,0,55.95,0,0,1.96,0,0,0.98,0,2.94,21.6,1.96,7.85
 84-94,0,0,0,0,46.73,2.12,13.81,0,12.74,2.12,3.19,20.18,0,1.06,37.17,6.37,8.5,2.12,1.06,8.5,29.74,0,1.06,3.19,4.25,1.06,0,0,0,185.86,0,0,10.62,0,0,2.12,2.12,1.06,18.05,3.19,6.37
 96-106,0,0,0,0,46.99,1.09,20.76,3.28,9.84,1.09,10.93,26.23,0,2.19,74.31,17.49,7.65,0,2.19,10.93,26.23,2.19,1.09,2.19,28.41,2.19,3.28,0,0,301.63,0,0,5.46,0,0,2.19,3.28,1.09,24.04,1.09,3.28
108-118,0,0,0,0.77,43.66,2.3,19.15,0.77,9.96,3.06,3.83,26.81,0,0,51.32,14.55,10.72,2.3,5.36,14.55,26.81,6.13,2.3,3.06,17.62,4.6,2.3,3.06,0,246.64,0,0,4.6,0,0,0,6.13,1.53,10.72,0,9.19
120,0,0,0,0,13.72,0,3.92,0,7.84,1.96,3.92,13.72,0,0,52.91,5.88,1.96,0,0,5.88,13.72,1.96,0,9.8,19.6,1.96,1.96,0,0,84.27,1.96,0,3.92,0,0,0,1.96,0,11.76,0,0
