stage,blastomeres,epidermis,eye,glial,hatching_gland,ionocyte,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,5.26,0,2.63,0,0,0,26.29,13.14,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,1.61,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,2.3,0,0,0,0,0,0.57
 60-70,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,2.94,0,0.98,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,1.06,0,1.06,0,0,0,0
120,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
