stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,113.29,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,22,41,0,0,0,3,0,1,43,0,0,7,0,1,1,0,0,2,1,0,0,2,0,1,49,0,3,1,0,5,0,0
 24-34,0,0,4.93,22.98,3.28,0,0,3.28,8.21,0,0,13.95,0,0,8.21,0,0.82,0,0,0,4.1,0,0,0,0,0.82,0,35.3,0,0,0,0,16.42,0,0
 36-46,0,0,1.61,0.81,0,0,0,4.03,2.42,0,0.81,6.45,0,0,4.83,0,1.61,0,0,0,5.64,0,0,0,0,0.81,0,24.17,0,0,0.81,0,16.92,0,0
 48-58,0,0,1.15,0.57,0,0,0,10.33,2.87,0,0,6.31,0,0,5.16,0,1.15,0,0,0,6.31,0,0,0,0,0.57,0,9.75,0,0,0,0,18.36,0,0
 60-70,0,0,1.96,0,0,0,0,6.87,1.96,0,3.93,15.7,0,0,10.8,0.98,0.98,0,0,0,3.93,0,0,0,0,0,0,11.78,0,0,0,0,19.63,0,0
 72-82,0,0,10.8,0.98,0.98,0,0,21.6,0,0,5.89,66.75,0,0,31.41,0,1.96,0,0,0,23.56,0,1.96,0,0,1.96,0,29.45,0,0,1.96,1.96,21.6,0,0.98
 84-94,0,0,3.19,4.25,1.06,0,0,37.17,1.06,0,2.12,112.58,0,0,75.4,0,1.06,1.06,1.06,0,12.74,0,0,0,0,1.06,0,58.41,1.06,0,1.06,3.19,14.87,0,0
 96-106,0,0,8.74,0,0,1.09,0,48.09,0,0,5.46,178.13,1.09,2.19,36.06,0,4.37,0,0,0,36.06,0,1.09,0,0,2.19,0,33.88,0,0,3.28,1.09,26.23,2.19,0
108-118,0,0,6.89,5.36,2.3,2.3,0.77,40.6,0.77,0,3.83,134.81,0.77,0,214.47,0,3.06,0,0,1.53,37.53,0,0,3.06,0,3.06,0,35.23,0,0,0,2.3,13.79,1.53,0.77
120,0,0,0,0,0,0,0,19.6,0,3.92,3.92,103.87,0,0,48.99,0,3.92,0,0,0,25.48,0,0,0,0,0,0,25.48,0,0,0,3.92,7.84,0,0
