stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,7.89,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,1.64,0,0.82,0.82,0,0,0,0,0,0,0,0,9.03,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,38.67,0,0,0,0,3.22,0
 48-58,0,0,0,0.57,0,1.15,0,0,0.57,0.57,0,0,0,0,0,72.3,0,0.57,0,0,2.87,0
 60-70,0,0,0,0.98,0,13.74,0,0,1.96,0,0,0,0,0,0.98,177.66,0,0,0,0,10.8,0
 72-82,0,0,0,0,1.96,33.38,0,0,0.98,0,0,0.98,0.98,0,0.98,198.3,0,0,0,0,11.78,0.98
 84-94,0,0,0,1.06,0,20.18,0,0,1.06,0,0,0,0,1.06,0,116.82,0,1.06,0,0,6.37,0
 96-106,0,0,0,3.28,0,24.04,0,1.09,3.28,0,0,2.19,1.09,1.09,0,127.86,0,1.09,0,2.19,5.46,0
108-118,0,0,0.77,1.53,0,6.13,0.77,0,0.77,0,0,0,0,1.53,0,86.55,0.77,0,0,0,0.77,0
120,0,0,0,3.92,0,17.64,0,0,0,0,0,0,0,1.96,0,90.15,0,0,0,3.92,3.92,0
