stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,7.89,0,5.26,0,0,18.4,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,231.33,5.26,0,0,34.17,0,97.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,3.15,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,368.2,15.73,0,0,66.09,0,62.94,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,39,1,3,0,0,0,2,1,3,1,0,62,0,0,0,0,0,10,0,3,59,6,5,5,1,0,835,6,1,1,9,13,0,0,1,0,0
 24-34,0,0,0,0.82,45.97,0.82,13.13,0,4.93,0,1.64,2.46,0.82,0,0.82,109.99,0,12.31,1.64,0.82,6.57,52.53,0,5.75,198.65,0,44.33,8.21,0,0,1686.04,0.82,2.46,0,4.93,17.24,0,0,1.64,0,0
 36-46,0,0,0,0,20.95,0,10.47,0,6.45,0,1.61,0,0,1.61,0,27.39,0,8.86,0.81,1.61,5.64,34.64,0,3.22,147.44,0.81,27.39,6.45,0,0,1650.82,0,0,0,0,17.72,0,0,1.61,0,1.61
 48-58,0,0,0,0,32.13,0.57,24.1,0,20.08,0,5.74,0.57,1.15,0,0,28.12,0,12.05,0,0.57,7.46,29.26,0.57,4.02,100.42,0,8.61,3.44,0,0.57,1422.46,0,0,0,0,13.77,0,0.57,0.57,0,1.15
 60-70,0,0,0,0,45.15,0,20.61,0,21.59,0,4.91,0,1.96,0.98,0,30.43,0,8.83,0,0,1.96,21.59,0,0,62.82,0.98,4.91,3.93,0,0,1184.7,0,0,0,0,11.78,7.85,0,0.98,0,0.98
 72-82,0,0,0,0,130.56,0.98,32.39,0,26.5,0,7.85,16.69,0,0.98,1.96,86.39,0,10.8,0.98,0,15.71,32.39,1.96,4.91,77.55,0,11.78,6.87,0,0.98,1283.03,0,0,0,0,1.96,25.52,0,1.96,0,0
 84-94,0,0,0,0,254.89,2.12,13.81,1.06,77.53,1.06,6.37,28.68,1.06,1.06,2.12,144.44,1.06,19.12,1.06,0,5.31,40.36,2.12,4.25,62.66,0,26.55,2.12,0,0,3479.23,0,0,0,0,0,77.53,0,0,0,2.12
 96-106,0,0,1.09,0,336.6,4.37,12.02,0,66.66,2.19,10.93,59.01,0,1.09,4.37,161.74,1.09,18.58,2.19,0,12.02,51.36,1.09,3.28,49.18,0,26.23,0,0,1.09,3134.28,0,0,0,0,0,78.68,0,1.09,1.09,0
108-118,0,0,0,0,265.79,3.83,14.55,0,72,0,3.83,57.45,0.77,0,3.83,116.43,0,7.66,0,0,11.49,57.45,0.77,2.3,52.85,0.77,17.62,3.06,0,0,2319.34,0,0,0,0,2.3,65.87,1.53,0.77,2.3,1.53
120,0,0,0,0,154.82,1.96,7.84,0,37.24,0,0,17.64,0,0,3.92,68.59,0,0,0,0,3.92,17.64,0,0,50.95,0,5.88,0,0,0,1091.6,0,0,0,0,0,25.48,0,0,0,0
