stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,22,0,0,3,0,4,0,0,0
 24-34,0,0,2.46,0,28.73,0.82,0.82,0,0.82,0.82,0,0,0,0,9.03,0,2.46,153.5,1.64,3.28,0,0.82,22.98,0.82,0,0.82
 36-46,0,0,1.61,0.81,33.03,0,1.61,0,0,0.81,0,0,0,0,9.67,0,0.81,74.93,0.81,1.61,0,0,11.28,0,0,0
 48-58,0,0,3.44,1.15,49.35,0,2.87,1.15,0,0,0.57,1.72,0.57,0,7.46,2.87,1.15,45.33,0.57,1.72,0,0,4.59,0.57,0,0
 60-70,0,0.98,9.82,1.96,49.08,1.96,1.96,0,0,1.96,0,0.98,0.98,0,15.7,0,0.98,40.24,0,1.96,0,0,1.96,0.98,0.98,0
 72-82,0,0,5.89,0,11.78,0,0.98,0,0,0,0.98,0,0,0.98,3.93,0,0.98,14.72,0.98,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,0,12.74,0,1.06,1.06,0,0,0,0,0,0,9.56,1.06,1.06,8.5,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0,0.77,0,0.77,4.6,0,0,0,0,0,1.53,0,0
120,0,0,3.92,3.92,35.28,0,1.96,1.96,0,0,0,0,0,0,5.88,0,1.96,33.32,0,0,0,0,0,7.84,0,0
