stage,blastomeres,epidermis,eye,glial,melanocytes,mesenchyme,neural,olfactory,otic,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,8.86,0,0,6.45
 48-58,0,0,0.57,0.57,0.57,0,14.35,0,0,2.87
 60-70,0,0,6.87,0,0,0,36.32,0,0,6.87
 72-82,0,1.96,9.82,0.98,0,0.98,42.21,0,0,1.96
 84-94,0,0,8.5,0,0,1.06,18.05,0,1.06,1.06
 96-106,0,0,4.37,0,0,1.09,22.95,0,0,0
108-118,0,0.77,2.3,0,0,0,19.15,0,0,0
120,0,0,0,0,0,0,25.48,1.96,0,1.96
