stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,0,43,17,22,0,0,0,1,0,0,1,0,5,0,0,0,0,17,1,0,32,142,0,0,0,0,0,5,1,17,2,1,76,25,0,0,3,0,0
 24-34,0,0,0.82,45.15,5.75,153.5,0.82,1.64,6.57,3.28,0.82,0,4.1,0,1.64,0.82,3.28,1.64,0,63.21,1.64,0,59.1,471.17,0,4.93,0.82,0.82,0,22.98,0,1.64,1.64,0,25.45,77.98,0,0,8.21,0,3.28
 36-46,0,0,0,22.56,0,501.93,7.25,0.81,11.28,9.67,0,0,0,0.81,3.22,0,0,0,0,95.87,0.81,0.81,44.31,853.2,0.81,4.83,0.81,0,1.61,20.14,0,0,0.81,1.61,0,157.11,0,0,12.09,0,5.64
 48-58,0,0,0.57,27.54,1.72,577.25,6.89,0.57,16.07,18.94,0,0,1.72,0,1.15,0.57,1.72,1.15,0.57,142.88,0,1.72,51.64,905.46,1.15,5.16,1.15,0.57,0.57,5.16,0,0,1.15,0,0,147.47,0,0,12.05,0,5.74
 60-70,0,0.98,0,24.54,1.96,677.25,3.93,2.94,15.7,20.61,1.96,0,4.91,2.94,2.94,0.98,0.98,0,0,161.95,0,0.98,31.41,838.22,1.96,3.93,1.96,0,2.94,7.85,0,0,0.98,1.96,0,78.52,0,0.98,12.76,2.94,2.94
 72-82,0,0,0,43.19,1.96,462.36,2.94,0.98,20.61,30.43,0.98,0.98,4.91,12.76,3.93,1.96,3.93,0,0.98,261.12,0.98,2.94,39.27,580.16,0,4.91,1.96,0,2.94,2.94,0,0,0,0,0,40.25,0,2.94,19.63,3.93,6.87
 84-94,0,0,0,65.85,5.31,351.53,5.31,1.06,21.24,28.68,2.12,0,1.06,25.49,7.43,5.31,4.25,1.06,3.19,159.31,0,7.43,28.68,383.4,1.06,5.31,4.25,0,1.06,14.87,0,0,2.12,3.19,0,28.68,1.06,3.19,18.05,5.31,7.43
 96-106,0,1.09,0,50.27,6.56,269.93,7.65,1.09,12.02,32.79,2.19,0,6.56,28.41,12.02,1.09,2.19,0,1.09,143.16,2.19,7.65,22.95,269.93,2.19,6.56,4.37,0,0,7.65,0,0,2.19,1.09,0,10.93,0,5.46,32.79,1.09,10.93
108-118,0,0.77,0,58.21,5.36,246.64,4.6,0,9.96,23.74,4.6,0,2.3,26.81,5.36,6.89,1.53,1.53,1.53,118.72,0.77,3.06,32.94,324.77,3.06,3.06,3.06,0,0.77,7.66,0,0,0,1.53,0,7.66,0,0,23.74,2.3,16.09
120,0,0,1.96,54.87,9.8,237.13,3.92,3.92,1.96,17.64,5.88,0,0,25.48,5.88,3.92,1.96,1.96,1.96,90.15,0,1.96,21.56,331.2,1.96,3.92,3.92,0,0,1.96,0,0,0,1.96,0,9.8,0,0,23.52,0,5.88
