stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,9.44,0,0,50.35,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,4,2,0,0,0,8,1,0,0,0,0,0,0,0,8,0,5,72,10,3,2,2,0,0,1,17,6,0,20,43,0,0,0,0,9
 24-34,0,0,0.82,1.64,4.93,0,12.31,0,0,0,9.03,0.82,0,0,0,2.46,0,2.46,2.46,14.78,0,5.75,98.5,3.28,8.21,3.28,0,0,0,0,0,3.28,0,2.46,50.07,0,0,1.64,0,9.85
 36-46,0,0,0,0,2.42,0,62.84,0,0,0,12.09,0,0,0,0,1.61,0,0,1.61,40.28,0.81,9.67,139.38,0.81,7.25,1.61,0,0,0.81,0,0,1.61,0,0,53.98,0,0,1.61,0,5.64
 48-58,0,0,0,0,0,0,60.82,0,0,0.57,16.07,0,0.57,0,0,1.15,0.57,0,0.57,48.2,0.57,6.31,63.12,0.57,5.16,0.57,0,1.15,1.15,0,0,1.15,0,0,29.84,0,0,0,0,3.44
 60-70,0,0,0,0,0,0,80.48,0.98,0,0.98,10.8,0,1.96,0,0,0,0.98,0,0,55.95,0.98,2.94,56.93,0,3.93,0,0,0.98,0,0,0,1.96,0,0,12.76,0,0,0.98,0,1.96
 72-82,0,0,0.98,0,0.98,0,69.7,0,0,0,19.63,0,0,0,0.98,1.96,2.94,0,0.98,63.81,3.93,5.89,72.64,0,10.8,4.91,0,0,0,0,0,0,0,0,11.78,0,3.93,0,0.98,0.98
 84-94,0,0,0,0,4.25,2.12,44.61,1.06,1.06,1.06,11.68,0,0,1.06,1.06,1.06,4.25,0,0,55.23,1.06,2.12,37.17,1.06,2.12,13.81,0,0,2.12,0,0,3.19,0,0,5.31,0,2.12,1.06,1.06,0
 96-106,0,0,0,0,5.46,1.09,40.44,1.09,0,3.28,14.21,0,0,0,0,2.19,7.65,0,0,37.16,1.09,2.19,30.6,0,12.02,10.93,0,1.09,0,0,0,0,0,0,3.28,1.09,1.09,1.09,3.28,0
108-118,0,0,0.77,0.77,7.66,0,29.87,0.77,0,1.53,13.02,0,0.77,0.77,1.53,3.83,0,0,0,32.17,1.53,3.06,29.87,0.77,4.6,5.36,0,1.53,0.77,0,0,0.77,1.53,0,3.83,0.77,0,1.53,0.77,4.6
120,0,0,0,0,1.96,0,13.72,0,0,1.96,7.84,1.96,0,1.96,0,3.92,11.76,0,0,17.64,0,0,48.99,0,3.92,7.84,0,0,0,0,0,1.96,0,0,3.92,0,0,0,1.96,0
