stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,103.85,0,0,3.15,0,0,44.06,0,0,0,0,0
 14-21,1,0,0,1,5,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,2,0,11,16,0,0,0,0,0,0,106,0,343,1015,4,0,0,0,0
 24-34,0,0,0,0.82,5.75,0,9.85,192.9,0.82,0.82,0,0,0,4.93,0,0.82,0,0,0.82,1.64,8.21,0,33.66,65.67,0,2.46,0,0,0,4.1,0.82,0,142.01,385.8,10.67,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,8.86,319.85,0,0.81,1.61,0,0,0.81,0,0,0,0,0,0,25.78,0,29,66.06,0,0.81,0.81,0,0,4.03,0,0.81,105.54,21.75,20.14,0,0.81,0,0.81
 48-58,0,0,0,0,2.87,0,17.79,201.41,1.15,1.15,7.46,0,0,0,0,0.57,0.57,0,0,0.57,34.43,1.15,42.46,65.99,0,0,0,0,0,2.3,0,0,68.28,0,20.08,0,0.57,0,1.72
 60-70,0,0,0,0,0.98,1.96,10.8,115.82,0.98,1.96,14.72,0,0,0.98,0,0.98,0,0.98,0,1.96,47.11,0,28.46,41.22,0,0,0.98,0,0,0.98,0,0,38.28,0,3.93,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,19.63,87.37,0.98,3.93,10.8,0,0,0,0.98,0,0,0.98,0.98,1.96,72.64,0,31.41,38.28,0.98,0,0,0,0,0.98,0,0.98,26.5,0,2.94,0.98,1.96,1.96,0.98
 84-94,0,0,1.06,1.06,5.31,0,12.74,83.9,2.12,2.12,9.56,0,0,0,4.25,0,2.12,0,0,3.19,55.23,1.06,29.74,15.93,0,0,0,0,0,0,0,0,41.42,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,4.37,2.19,20.76,76.5,1.09,0,4.37,0,0,0,0,0,0,0,2.19,0,20.76,1.09,18.58,14.21,0,0,0,1.09,2.19,2.19,0,0,33.88,0,1.09,0,3.28,2.19,1.09
108-118,0,0,0,0,1.53,1.53,9.19,71.23,0,0.77,9.19,0.77,0,0,1.53,0,0,0,0.77,0.77,13.02,0.77,26.04,19.92,0.77,0,0.77,0,0,0,0,1.53,26.81,0,2.3,0,1.53,0.77,0.77
120,0,0,0,0,3.92,3.92,9.8,68.59,0,0,0,0,0,0,0,0,0,0,1.96,3.92,15.68,1.96,31.36,23.52,0,0,0,0,0,3.92,0,0,17.64,0,1.96,0,0,0,0
