stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,1,12,1,0,0,0,0,1,0,1,0,2,3,0,0,3,0,1
 24-34,0,0,0,0,1.64,0,0,5.75,0.82,0,0,0,0,0.82,0.82,0,0,1.64,0,0,7.39,0.82,0,4.93,32.83,0,0,0,0,0,7.39,0,0,0,0.82,9.03,0,0,9.03,0,0
 36-46,0,0,0,0,0,0,0,6.45,0,0,4.03,0,0,1.61,1.61,0.81,0,0,0.81,0,12.89,0,0,1.61,24.17,0,0,0,0,0,12.09,0.81,0,0,0,8.86,0,0,7.25,0,1.61
 48-58,0,0,0,0,0.57,0,0,6.89,0,1.15,2.3,0.57,0,0.57,1.15,0.57,0,0,0,0,6.89,0,0.57,2.3,14.92,0.57,2.3,1.15,0,0,4.02,0,0,0,0,6.31,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,9.82,0.98,1.96,6.87,6.87,0,0,3.93,0,0.98,0.98,0,0,20.61,0,0,1.96,12.76,0,0.98,1.96,0,0.98,7.85,0,0,0,0,2.94,0,0,6.87,0,0
 72-82,0,0,0.98,0,1.96,2.94,0,9.82,0,0,14.72,7.85,0,2.94,3.93,0.98,0.98,2.94,0,0.98,26.5,0.98,1.96,2.94,13.74,0,2.94,1.96,0,0,2.94,0,0,0,0,3.93,2.94,0,10.8,0,0
 84-94,0,0,0,0,3.19,1.06,0,6.37,1.06,2.12,3.19,18.05,0,1.06,5.31,2.12,0,1.06,0,1.06,19.12,1.06,1.06,1.06,6.37,0,2.12,0,0,0,12.74,0,0,3.19,0,0,0,0,2.12,2.12,0
 96-106,0,0,1.09,0,8.74,1.09,0,4.37,3.28,2.19,3.28,27.32,0,0,6.56,2.19,1.09,1.09,0,0,26.23,1.09,1.09,3.28,10.93,0,5.46,3.28,0,0,10.93,0,0,0,0,0,0,1.09,10.93,1.09,0
108-118,0,0,0,0.77,4.6,0.77,0.77,5.36,0.77,0.77,6.89,26.81,0,0,6.13,1.53,1.53,1.53,1.53,0,16.85,0,0.77,3.06,13.79,1.53,2.3,0.77,0,0.77,3.83,0,0,2.3,0,0.77,0.77,0,6.89,0,1.53
120,0,0,0,0,3.92,1.96,1.96,1.96,0,1.96,9.8,52.91,0,0,3.92,1.96,0,0,5.88,0,7.84,1.96,5.88,0,19.6,0,0,3.92,0,1.96,1.96,0,0,1.96,0,1.96,0,0,3.92,0,0
