stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,18.39,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,36.94,0.82,0,0,0,0.82,0,4.93,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0,80.57,0.81,0,0,0,0,0,12.09,0,0
 48-58,0,0,0,0,0,7.46,0,1.72,0,0,0,0,0,2.87,0,0,0.57,141.73,1.15,0,0,0,0,0,12.05,0,0
 60-70,0,0,0,0,0,47.11,0,4.91,0,0.98,0,0,0,3.93,0,0,0,413.22,3.93,0,0,0,2.94,0,29.45,0,0
 72-82,0,0,0.98,1.96,1.96,81.48,0,11.78,1.96,0,0,0,0,12.76,0.98,0.98,0,405.43,0,2.94,0,0,0,0.98,20.61,0.98,0.98
 84-94,0,0,1.06,2.12,1.06,55.23,0,6.37,3.19,0,0,0,0,15.93,0,0,0,233.65,1.06,1.06,0,0,0,0,13.81,0,0
 96-106,0,0,0,1.09,0,37.16,1.09,7.65,0,1.09,0,0,0,6.56,0,0,0,192.34,0,0,0,1.09,2.19,0,4.37,0,0
108-118,0,0,0,3.06,0.77,27.57,0,9.19,1.53,0,0.77,0.77,0.77,5.36,0,0,0,226.73,0.77,0.77,0,0,0,0,6.13,0,0.77
120,0,0,0,5.88,0,45.08,0,7.84,0,0,0,0,0,3.92,0,0,1.96,250.85,0,0,0,0,3.92,0,0,1.96,0
